Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
700,4044.14,0.0116,0,4s,2S,1/2,2
700,4044.14,0.0116,24720.139,5p,2P¡ã,3/2,4
700,4047.21,0.0107,0,4s,2S,1/2,2
700,4047.21,0.0107,24701.382,5p,2P¡ã,1/2,2
1000,7664.8991,0.379,0,4s,2S,1/2,2
1000,7664.8991,0.379,13042.876,4p,2P¡ã,3/2,4
1000,7698.9645,0.374,0,4s,2S,1/2,2
1000,7698.9645,0.374,12985.17,4p,2P¡ã,1/2,2
700,11690.21,0.22,12985.17,4p,2P¡ã,1/2,2
700,11690.21,0.22,21536.988,3d,2D,3/2,4
600,11769.62,0.0434,13042.876,4p,2P¡ã,3/2,4
600,11769.62,0.0434,21536.988,3d,2D,3/2,4
700,11772.83,0.259,13042.876,4p,2P¡ã,3/2,4
700,11772.83,0.259,21534.68,3d,2D,5/2,6
