Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
400,1996.056,0.77,0,3d54s2,a 6S,5/2,6
400,1996.056,0.77,50099.03,3d5(4P)4s4p(3P¡ã),v 6P¡ã,3/2,4
500,1999.511,0.76,0,3d54s2,a 6S,5/2,6
500,1999.511,0.76,50012.5,3d5(4P)4s4p(3P¡ã),v 6P¡ã,5/2,6
700,2003.849,0.76,0,3d54s2,a 6S,5/2,6
700,2003.849,0.76,49888.01,3d5(4P)4s4p(3P¡ã),v 6P¡ã,7/2,8
250,2794.817,3.7,0,3d54s2,a 6S,5/2,6
250,2794.817,3.7,35769.97,3d5(6S)4s4p(1P¡ã),y 6P¡ã,7/2,8
200,2798.27,3.6,0,3d54s2,a 6S,5/2,6
200,2798.27,3.6,35725.85,3d5(6S)4s4p(1P¡ã),y 6P¡ã,5/2,6
140,2801.084,3.7,0,3d54s2,a 6S,5/2,6
140,2801.084,3.7,35689.98,3d5(6S)4s4p(1P¡ã),y 6P¡ã,3/2,4
120,3806.715,0.59,17052.29,3d6(5D)4s,a 6D,9/2,10
120,3806.715,0.59,43314.23,3d6(5D)4p,z 6F¡ã,11/2,12
1000,4030.755,0.17,0,3d54s2,a 6S,5/2,6
1000,4030.755,0.17,24802.25,3d5(6S)4s4p(3P¡ã),z 6P¡ã,7/2,8
700,4033.068,0.165,0,3d54s2,a 6S,5/2,6
700,4033.068,0.165,24788.05,3d5(6S)4s4p(3P¡ã),z 6P¡ã,5/2,6
400,4034.485,0.158,0,3d54s2,a 6S,5/2,6
400,4034.485,0.158,24779.32,3d5(6S)4s4p(3P¡ã),z 6P¡ã,3/2,4
200,4041.357,0.787,17052.29,3d6(5D)4s,a 6D,9/2,10
200,4041.357,0.787,41789.48,3d6(5D)4p,z 6D¡ã,9/2,10
