Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (7.5e-2),Fe II (4.1e-1),Fe III (5.6e-5),Ni I (6.1e-2),Ni II (1.9e-1),Ni III (6.3e-6),Cu I (4.4e-3),Cu II (1.1e-2),Mo I (4.3e-3)
199.28,9.902e-28,,,,,9.902e-28,,,,,,
199.3,2.223e-21,,,,2.223e-21,1.695e-26,,,,,,
199.32,4.117e-20,,,,4.117e-20,2.677e-25,,,,,,
199.35,2.824e-18,,,,2.824e-18,1.447e-23,,,,,,
199.37,4.283e-17,,,,4.283e-17,1.871e-22,,,,,,
199.4,2.177e-15,,,,2.177e-15,7.493e-21,,,,,,
199.42,2.703e-14,,,,2.703e-14,7.935e-20,,,,,,
199.45,1.018e-12,,,,1.018e-12,2.353e-18,,,,,,
199.47,1.035e-11,,,,1.035e-11,2.041e-17,,,,,,
199.5,2.888e-10,,,,2.888e-10,4.484e-16,,,,,,
199.52,2.404e-9,,,,2.404e-9,3.183e-15,,,,,,
199.55,4.971e-8,,,,4.971e-8,5.182e-14,,,,,,
199.57,3.388e-7,,,,3.388e-7,3.012e-13,,,,,,
199.6,5.190e-6,,,,5.190e-6,3.632e-12,,,,,,
199.62,2.896e-5,,,,2.896e-5,1.728e-11,,,,,,
199.65,3.287e-4,,,,3.287e-4,1.544e-10,,,,,,
199.67,1.502e-3,,,,1.502e-3,6.018e-10,,,,,,
199.69,6.336e-3,,,,6.336e-3,2.165e-9,,,,,,
199.72,4.725e-2,,,,4.725e-2,1.272e-8,,,,,,
199.74,1.632e-1,,,,1.632e-1,3.749e-8,,,,,,
199.77,9.017e-1,,,,9.017e-1,1.635e-7,,,,,,
199.79,2.550e+0,,,,2.550e+0,3.954e-7,,,,,,
199.82,1.044e+1,,,,1.044e+1,1.285e-6,,,,,,
199.84,2.418e+1,,,,2.418e+1,2.565e-6,,,,,,
199.87,7.333e+1,,,,7.333e+1,6.304e-6,,,,,,
199.89,1.390e+2,,,,1.390e+2,1.054e-5,,,,,,
199.92,3.124e+2,,,,3.124e+2,2.040e-5,,,,,,
199.94,4.850e+2,,,,4.850e+2,2.982e-5,,,,,,
199.97,8.076e+2,,,,8.076e+2,4.946e-5,4.878e-21,,,,,
199.99,1.027e+3,,,,1.027e+3,6.735e-5,8.517e-20,,,,,
200.02,1.266e+3,,,,1.266e+3,1.033e-4,5.354e-18,,,,,
200.04,1.318e+3,,,,1.318e+3,1.331e-4,7.665e-17,,,,,
200.06,1.266e+3,,,,1.266e+3,1.656e-4,1.014e-15,,,,,
200.09,1.027e+3,,,,1.027e+3,2.107e-4,4.199e-14,,,,,
200.11,8.076e+2,,,,8.076e+2,2.314e-4,4.552e-13,,,,,
200.14,4.850e+2,,,,4.850e+2,2.413e-4,1.400e-11,,,,,
200.16,3.124e+2,,,,3.124e+2,2.356e-4,1.244e-10,,,,,
200.19,1.390e+2,,,,1.390e+2,2.250e-4,2.840e-9,,,,,
200.21,7.333e+1,,,,7.333e+1,2.312e-4,2.070e-8,,,,,
200.24,2.418e+1,,,,2.418e+1,2.827e-4,3.508e-7,,,,,
200.26,1.044e+1,,,,1.044e+1,3.498e-4,2.096e-6,,,,,
200.29,2.551e+0,,,,2.550e+0,4.839e-4,2.637e-5,,,,,
200.31,9.025e-1,,,,9.018e-1,5.733e-4,1.292e-4,,,,,
200.34,1.654e-1,,,,1.635e-1,6.634e-4,1.206e-3,,,,,
200.36,5.400e-2,,,,4.848e-2,6.781e-4,4.845e-3,,,,,
200.39,4.910e-2,,,,1.487e-2,6.374e-4,3.359e-2,,,,,
200.41,1.408e-1,,,,2.960e-2,5.888e-4,1.106e-1,,,,,
200.44,7.147e-1,,,,1.448e-1,5.242e-4,5.694e-1,,,,,
200.46,1.928e+0,,,,3.904e-1,5.004e-4,1.537e+0,,,,,
200.48,4.806e+0,,,,9.734e-1,4.911e-4,3.832e+0,,,,,
200.51,1.630e+1,,,,3.302e+0,4.863e-4,1.300e+1,,,,,
200.53,3.332e+1,,,,6.749e+0,4.763e-4,2.657e+1,,,,,
200.56,8.391e+1,,,,1.700e+1,4.408e-4,6.691e+1,,,,1.111e-23,
200.58,1.406e+2,,,,2.848e+1,4.059e-4,1.121e+2,,,,1.984e-22,
200.61,2.629e+2,,,,5.325e+1,3.504e-4,2.096e+2,,,,1.292e-20,
200.63,3.612e+2,,,,7.316e+1,3.209e-4,2.880e+2,,,,1.893e-19,
200.66,5.013e+2,,,,1.015e+2,3.055e-4,3.997e+2,,,,9.163e-18,
200.68,5.647e+2,,,,1.144e+2,3.240e-4,4.503e+2,,,,1.103e-16,
200.71,5.818e+2,,,,1.178e+2,4.026e-4,4.640e+2,,,,3.968e-15,
200.73,5.374e+2,,,,1.088e+2,4.838e-4,4.285e+2,,,,3.919e-14,
200.76,4.110e+2,,,,8.331e+1,6.189e-4,3.277e+2,,,,1.049e-12,
200.78,3.114e+2,,,,6.325e+1,6.921e-4,2.482e+2,,,,8.505e-12,
200.81,1.778e+2,,,,3.686e+1,7.365e-4,1.409e+2,,,,1.693e-10,
200.83,1.126e+2,,,,2.509e+1,7.108e-4,8.749e+1,,,,1.127e-9,
200.85,7.005e+1,,,,1.988e+1,6.439e-4,5.017e+1,,,,6.929e-9,
200.88,4.763e+1,,,,2.886e+1,4.923e-4,1.877e+1,,,,9.111e-8,
200.9,6.018e+1,,,,5.136e+1,3.798e-4,8.825e+0,,,,4.599e-7,
200.93,1.263e+2,,,,1.239e+2,2.285e-4,2.451e+0,,,,4.498e-6,
200.95,2.074e+2,,,,2.064e+2,1.514e-4,9.448e-1,,,,1.864e-5,
200.98,3.848e+2,,,,3.846e+2,7.672e-5,1.948e-1,,,,1.355e-4,
201,5.279e+2,,,,5.278e+2,5.140e-5,6.163e-2,,,,4.609e-4,
201.03,7.316e+2,,,,7.316e+2,4.115e-5,1.014e-2,,,,2.493e-3,
201.05,8.238e+2,,,,8.238e+2,4.764e-5,5.638e-3,,,,6.960e-3,
201.08,8.487e+2,,,,8.487e+2,6.990e-5,2.638e-2,,,,2.800e-2,
201.1,7.842e+2,,,,7.841e+2,8.911e-5,9.595e-2,,,,6.415e-2,
201.13,6.010e+2,,,,6.003e+2,1.178e-4,5.826e-1,,,,1.919e-1,
201.15,4.571e+2,,,,4.550e+2,1.335e-4,1.758e+0,,,,3.610e-1,
201.18,2.676e+2,,,,2.589e+2,1.482e-4,7.944e+0,,,,8.030e-1,
201.2,1.819e+2,,,,1.610e+2,1.515e-4,1.968e+1,,,,1.240e+0,
201.22,1.393e+2,,,,9.253e+1,1.498e-4,4.504e+1,,,,1.769e+0,
201.25,1.720e+2,,,,3.482e+1,1.385e-4,1.345e+2,,,,2.604e+0,
201.27,2.725e+2,,,,1.661e+1,1.259e-4,2.529e+2,,,,3.058e+0,
201.3,5.711e+2,,,,5.685e+0,1.014e-4,5.620e+2,,,,3.397e+0,
201.32,8.752e+2,,,,4.635e+0,8.376e-5,8.672e+2,,,,3.387e+0,
201.35,1.448e+3,,,,1.058e+1,6.084e-5,1.434e+3,,,,3.311e+0,
201.37,1.842e+3,,,,2.170e+1,5.092e-5,1.817e+3,,,,3.615e+0,
201.4,2.297e+3,,,,5.723e+1,4.657e-5,2.234e+3,,,,5.637e+0,
201.42,2.432e+3,,,,9.930e+1,4.993e-5,2.324e+3,,,,8.741e+0,
201.45,2.340e+3,,,,1.959e+2,5.987e-5,2.127e+3,,,,1.697e+1,
201.47,2.121e+3,,,,2.792e+2,6.622e-5,1.817e+3,,,,2.482e+1,
201.5,1.685e+3,,,,4.100e+2,7.029e-5,1.237e+3,,,,3.842e+1,
201.52,1.394e+3,,,,4.799e+2,6.821e-5,8.672e+2,,,,4.674e+1,
201.55,1.018e+3,,,,5.244e+2,5.959e-5,4.392e+2,,,,5.415e+1,
201.57,8.112e+2,,,,5.042e+2,5.270e-5,2.529e+2,,,,5.414e+1,
201.59,6.328e+2,,,,4.482e+2,4.702e-5,1.345e+2,,,,5.004e+1,
201.62,4.082e+2,,,,3.248e+2,4.304e-5,4.504e+1,,,,3.836e+1,
201.64,2.881e+2,,,,2.393e+2,4.342e-5,1.968e+1,,,,2.912e+1,
201.67,1.601e+2,,,,1.386e+2,4.626e-5,4.900e+0,,,,1.661e+1,
201.69,1.136e+2,,,,1.014e+2,4.795e-5,1.758e+0,,,1.687e-21,1.035e+1,
201.72,1.062e+2,,,,1.014e+2,4.831e-5,3.256e-1,,,1.178e-19,4.397e+0,
201.74,1.452e+2,,,,1.429e+2,4.703e-5,9.589e-2,,,1.812e-18,2.251e+0,
201.77,2.723e+2,,,,2.716e+2,4.413e-5,1.322e-2,,,9.439e-17,7.113e-1,
201.79,3.977e+2,,,,3.974e+2,4.236e-5,3.196e-3,,,1.194e-15,2.991e-1,
201.82,6.163e+2,,,,6.162e+2,4.029e-5,3.277e-4,,,4.643e-14,7.034e-2,
201.84,7.506e+2,,,,7.506e+2,3.875e-5,6.506e-5,,,4.833e-13,2.429e-2,
201.87,8.749e+2,,,,8.749e+2,3.478e-5,4.963e-6,,,1.402e-11,4.251e-3,
201.89,8.841e+2,,,,8.841e+2,3.059e-5,8.089e-7,,,1.200e-10,1.206e-3,
201.92,7.958e+2,,,,7.958e+2,2.254e-5,4.591e-8,,,2.598e-9,1.570e-4,
201.94,7.003e+2,,,,7.003e+2,1.690e-5,6.144e-9,,,1.830e-8,3.657e-5,
201.96,6.092e+2,,,,6.092e+2,1.179e-5,7.634e-10,,,1.192e-7,7.872e-6,
201.99,5.301e+2,,,,5.301e+2,6.025e-6,1.258e-10,,,1.713e-6,6.782e-7,
202.01,5.267e+2,,,,5.267e+2,3.616e-6,8.022e-10,,,9.180e-6,1.200e-7,
202.04,5.683e+2,,,,5.683e+2,1.850e-6,1.626e-8,,,9.839e-5,1.063e-8,
202.06,5.958e+2,,,,5.958e+2,1.631e-6,1.100e-7,,,4.338e-4,2.183e-8,
202.09,5.876e+2,,,,5.876e+2,2.373e-6,1.670e-6,,,3.469e-3,3.336e-7,
202.11,5.375e+2,,,,5.375e+2,3.463e-6,9.291e-6,,,1.258e-2,1.929e-6,
202.14,4.101e+2,,,,4.100e+2,5.919e-6,1.053e-4,,,7.509e-2,2.318e-5,
202.16,3.114e+2,,,,3.112e+2,8.137e-6,4.821e-4,,,2.241e-1,1.103e-4,
202.19,1.789e+2,,,,1.779e+2,1.258e-5,4.079e-3,,,9.976e-1,9.892e-4,
202.21,1.136e+2,,,,1.111e+2,1.651e-5,1.537e-2,,,2.449e+0,3.874e-3,
