Wavelength (nm),Sum,Al I (1.3e-01),Al II (8.7e-01),Al III (2.5e-05)
200.41,5.305e-11,,5.305e-11,
200.46,9.665e-10,,9.665e-10,
200.51,1.558e-8,,1.558e-8,
200.56,2.220e-7,,2.220e-7,
200.61,2.800e-6,,2.800e-6,
200.66,3.123e-5,,3.123e-5,
200.72,4.801e-4,,4.801e-4,
200.77,4.090e-3,,4.090e-3,
200.82,3.082e-2,,3.082e-2,
200.87,2.055e-1,,2.055e-1,
200.92,1.212e+0,,1.212e+0,
200.97,6.323e+0,,6.323e+0,
201.02,2.919e+1,,2.919e+1,
201.07,1.192e+2,,1.192e+2,
201.12,4.309e+2,,4.309e+2,
201.17,1.378e+3,,1.378e+3,
201.22,3.897e+3,,3.897e+3,
201.27,9.753e+3,,9.753e+3,
201.32,2.160e+4,,2.160e+4,
201.37,4.233e+4,,4.233e+4,
201.42,7.339e+4,,7.339e+4,
201.47,1.126e+5,,1.126e+5,
201.52,1.529e+5,,1.529e+5,
201.57,1.837e+5,,1.837e+5,
201.62,1.953e+5,,1.953e+5,
201.67,1.838e+5,,1.838e+5,
201.72,1.531e+5,,1.531e+5,
201.77,1.132e+5,,1.132e+5,
201.82,7.472e+4,,7.472e+4,
201.87,4.538e+4,,4.538e+4,
201.92,2.807e+4,,2.807e+4,
201.97,2.203e+4,,2.203e+4,
202.02,2.462e+4,,2.462e+4,
202.07,3.238e+4,,3.238e+4,
202.12,4.150e+4,,4.150e+4,
202.17,4.826e+4,,4.826e+4,
202.22,4.997e+4,,4.997e+4,
202.27,4.585e+4,,4.585e+4,
202.32,3.724e+4,,3.724e+4,
202.37,2.677e+4,,2.677e+4,
202.42,1.703e+4,,1.703e+4,
202.47,9.583e+3,,9.583e+3,
202.52,4.773e+3,,4.773e+3,
202.57,2.104e+3,,2.104e+3,
202.62,8.204e+2,,8.204e+2,
202.67,2.831e+2,,2.831e+2,
202.72,8.647e+1,,8.647e+1,
202.77,2.337e+1,,2.337e+1,
202.82,5.588e+0,,5.588e+0,
202.87,1.182e+0,,1.182e+0,
202.92,2.214e-1,,2.214e-1,
202.97,3.669e-2,,3.669e-2,
203.02,5.379e-3,,5.379e-3,
203.07,6.980e-4,,6.980e-4,
203.12,8.013e-5,,8.013e-5,
203.17,8.142e-6,,8.142e-6,
203.22,7.320e-7,,7.320e-7,
203.27,5.823e-8,,5.823e-8,
203.32,4.099e-9,,4.099e-9,
203.37,2.554e-10,,2.554e-10,
203.42,1.408e-11,,1.408e-11,
206.12,9.239e-21,,,9.239e-21
206.17,2.455e-10,,2.455e-10,1.569e-19
206.22,4.042e-9,,4.042e-9,2.372e-18
206.27,5.925e-8,,5.925e-8,3.194e-17
206.32,7.733e-7,,7.733e-7,3.828e-16
206.37,8.985e-6,,8.985e-6,4.085e-15
206.42,9.294e-5,,9.294e-5,3.881e-14
206.47,8.559e-4,,8.559e-4,3.282e-13
206.52,7.017e-3,,7.017e-3,2.472e-12
206.57,5.121e-2,,5.121e-2,1.658e-11
206.62,3.327e-1,,3.327e-1,9.895e-11
206.67,1.925e+0,,1.925e+0,5.259e-10
206.72,9.912e+0,,9.912e+0,2.489e-9
206.77,4.544e+1,,4.544e+1,1.049e-8
206.82,1.855e+2,,1.855e+2,3.934e-8
206.87,6.740e+2,,6.740e+2,1.314e-7
206.92,2.180e+3,,2.180e+3,3.907e-7
206.97,6.279e+3,,6.279e+3,1.034e-6
207.02,1.610e+4,,1.610e+4,2.438e-6
207.07,3.675e+4,,3.675e+4,5.116e-6
207.12,7.467e+4,,7.467e+4,9.560e-6
207.17,1.351e+5,,1.351e+5,1.590e-5
207.22,2.176e+5,,2.176e+5,2.356e-5
207.27,3.119e+5,,3.119e+5,3.107e-5
207.32,3.982e+5,,3.982e+5,3.648e-5
207.37,4.525e+5,,4.525e+5,3.814e-5
207.42,4.578e+5,,4.578e+5,3.550e-5
207.47,4.123e+5,,4.123e+5,2.942e-5
207.52,3.306e+5,,3.306e+5,2.170e-5
207.57,2.360e+5,,2.360e+5,1.426e-5
207.62,1.500e+5,,1.500e+5,8.340e-6
207.67,8.486e+4,,8.486e+4,4.343e-6
207.72,4.274e+4,,4.274e+4,2.014e-6
207.77,1.917e+4,,1.917e+4,8.313e-7
207.82,7.651e+3,,7.651e+3,3.055e-7
207.87,2.719e+3,,2.719e+3,9.999e-8
207.92,8.603e+2,,8.603e+2,2.913e-8
207.97,2.423e+2,,2.423e+2,7.558e-9
208.02,6.077e+1,,6.077e+1,1.747e-9
208.07,1.357e+1,,1.357e+1,3.694e-10
208.12,2.696e+0,,2.696e+0,1.349e-10
208.17,4.771e-1,,4.771e-1,4.192e-10
208.22,7.515e-2,,7.515e-2,2.152e-9
208.27,1.054e-2,,1.054e-2,1.010e-8
208.32,1.316e-3,,1.316e-3,4.228e-8
208.37,1.479e-4,,1.478e-4,1.579e-7
208.42,3.148e-5,,3.096e-5,5.256e-7
208.47,1.602e-4,,1.587e-4,1.561e-6
208.52,1.347e-3,,1.343e-3,4.133e-6
208.57,1.025e-2,,1.024e-2,9.762e-6
208.62,6.975e-2,,6.973e-2,2.057e-5
208.67,4.246e-1,,4.246e-1,3.867e-5
208.72,2.311e+0,,2.311e+0,6.492e-5
208.77,1.125e+1,,1.125e+1,9.753e-5
208.82,4.899e+1,,4.899e+1,1.316e-4
208.87,1.908e+2,,1.908e+2,1.609e-4
208.92,6.651e+2,,6.651e+2,1.811e-4
208.97,2.075e+3,,2.075e+3,1.937e-4
209.02,5.797e+3,,5.797e+3,2.056e-4
209.07,1.450e+4,,1.450e+4,2.255e-4
209.12,3.251e+4,,3.251e+4,2.570e-4
209.17,6.530e+4,,6.530e+4,2.946e-4
209.22,1.176e+5,,1.176e+5,3.243e-4
209.27,1.898e+5,,1.898e+5,3.314e-4
209.32,2.747e+5,,2.747e+5,3.079e-4
209.37,3.567e+5,,3.567e+5,2.575e-4
209.42,4.154e+5,,4.154e+5,1.929e-4
209.47,4.341e+5,,4.341e+5,1.292e-4
209.52,4.070e+5,,4.070e+5,7.723e-5
209.57,3.424e+5,,3.424e+5,4.120e-5
209.62,2.584e+5,,2.584e+5,1.961e-5
209.67,1.750e+5,,1.750e+5,8.330e-6
209.72,1.063e+5,,1.063e+5,3.156e-6
209.77,5.791e+4,,5.791e+4,1.067e-6
209.82,2.829e+4,,2.829e+4,3.217e-7
209.87,1.239e+4,,1.239e+4,8.654e-8
209.92,4.865e+3,,4.865e+3,2.077e-8
209.97,1.711e+3,,1.711e+3,4.446e-9
210.02,5.393e+2,,5.393e+2,8.492e-10
210.07,1.522e+2,,1.522e+2,1.447e-10
210.12,3.848e+1,,3.848e+1,2.199e-11
210.17,8.706e+0,,8.706e+0,2.982e-12
210.22,1.763e+0,,1.763e+0,3.608e-13
210.27,3.194e-1,,3.194e-1,3.893e-14
210.32,5.178e-2,,5.178e-2,3.748e-15
210.37,7.507e-3,,7.507e-3,3.219e-16
210.42,9.732e-4,,9.732e-4,2.466e-17
210.47,1.128e-4,,1.128e-4,1.686e-18
210.52,1.169e-5,,1.169e-5,1.028e-19
210.57,1.128e-6,4.534e-8,1.083e-6,
210.62,8.005e-7,7.109e-7,8.962e-8,
210.67,9.976e-6,9.970e-6,6.629e-9,
210.72,1.251e-4,1.251e-4,4.318e-10,
210.77,1.404e-3,1.404e-3,2.076e-11,
210.82,1.409e-2,1.409e-2,,
210.87,1.266e-1,1.266e-1,,
210.92,1.017e+0,1.017e+0,,
210.97,7.308e+0,7.308e+0,,
211.02,4.698e+1,4.698e+1,,
211.07,2.702e+2,2.702e+2,,
211.12,1.390e+3,1.390e+3,,
211.17,6.397e+3,6.397e+3,,
211.22,2.634e+4,2.634e+4,,
211.27,9.700e+4,9.700e+4,,
211.32,3.196e+5,3.196e+5,,
211.37,9.418e+5,9.418e+5,,
211.42,2.483e+6,2.483e+6,,
211.47,5.856e+6,5.856e+6,,
211.52,1.235e+7,1.235e+7,,
211.57,2.332e+7,2.332e+7,,
211.62,3.937e+7,3.937e+7,,
211.67,5.946e+7,5.946e+7,,
211.72,8.036e+7,8.036e+7,,
211.77,9.722e+7,9.722e+7,,
211.82,1.055e+8,1.055e+8,,
211.87,1.030e+8,1.030e+8,,
211.92,9.193e+7,9.193e+7,,
211.97,7.786e+7,7.786e+7,,
212.02,6.833e+7,6.833e+7,,
212.07,7.009e+7,7.009e+7,,
212.12,8.666e+7,8.666e+7,,
212.17,1.167e+8,1.167e+8,,
212.22,1.534e+8,1.534e+8,,
212.27,1.865e+8,1.865e+8,,
212.32,2.050e+8,2.050e+8,,
212.37,2.024e+8,2.024e+8,,
212.42,1.792e+8,1.792e+8,,
212.47,1.425e+8,1.425e+8,,
212.52,1.024e+8,1.024e+8,,
212.57,6.850e+7,6.850e+7,,
212.62,4.694e+7,4.694e+7,,
212.67,4.032e+7,4.032e+7,,
212.72,4.853e+7,4.853e+7,,
212.77,6.934e+7,6.934e+7,,
212.82,9.823e+7,9.823e+7,,
212.87,1.282e+8,1.282e+8,,
212.92,1.512e+8,1.512e+8,,
212.97,1.605e+8,1.605e+8,,
213.02,1.543e+8,1.543e+8,,
213.07,1.370e+8,1.370e+8,,
213.12,1.180e+8,1.180e+8,,
213.17,1.090e+8,1.090e+8,,
213.22,1.190e+8,1.190e+8,,
213.27,1.514e+8,1.514e+8,,
213.32,2.013e+8,2.013e+8,,
213.37,2.559e+8,2.559e+8,,
213.42,2.987e+8,2.987e+8,,
213.47,3.149e+8,3.149e+8,,
213.52,2.983e+8,2.983e+8,,
213.57,2.535e+8,2.535e+8,,
213.62,1.931e+8,1.931e+8,,
213.67,1.318e+8,1.318e+8,,
213.72,8.065e+7,8.065e+7,,
213.77,4.422e+7,4.422e+7,,
213.82,2.173e+7,2.173e+7,,
213.87,9.572e+6,9.572e+6,,
213.92,3.804e+6,3.804e+6,,
213.97,1.450e+6,1.450e+6,,
214.02,8.193e+5,8.193e+5,,
214.07,1.334e+6,1.334e+6,,
214.12,3.364e+6,3.364e+6,,
214.17,8.218e+6,8.218e+6,,
214.22,1.815e+7,1.815e+7,,
214.27,3.597e+7,3.597e+7,,
214.32,6.397e+7,6.397e+7,,
214.37,1.021e+8,1.021e+8,,
214.42,1.461e+8,1.461e+8,,
214.47,1.877e+8,1.877e+8,,
214.52,2.165e+8,2.165e+8,,
214.57,2.250e+8,2.250e+8,,
214.62,2.123e+8,2.123e+8,,
214.67,1.858e+8,1.858e+8,,
214.72,1.595e+8,1.595e+8,,
214.77,1.490e+8,1.490e+8,,
214.82,1.661e+8,1.661e+8,,
214.87,2.141e+8,2.141e+8,,
214.92,2.855e+8,2.855e+8,,
214.97,3.624e+8,3.624e+8,,
215.02,4.216e+8,4.216e+8,,
215.07,4.434e+8,4.434e+8,,
215.12,4.196e+8,4.196e+8,,
215.17,3.566e+8,3.566e+8,,
215.22,2.722e+8,2.722e+8,,
215.27,1.864e+8,1.864e+8,,
215.32,1.146e+8,1.146e+8,,
215.37,6.325e+7,6.325e+7,,
215.42,3.132e+7,3.132e+7,,
215.47,1.392e+7,1.392e+7,,
215.52,5.556e+6,5.556e+6,,
215.57,1.990e+6,1.990e+6,,
215.62,6.395e+5,6.395e+5,,
215.67,1.845e+5,1.845e+5,,
215.72,4.777e+4,4.777e+4,,
215.77,1.110e+4,1.110e+4,,
215.82,2.316e+3,2.316e+3,,
215.87,4.337e+2,4.337e+2,,
215.92,7.390e+1,7.390e+1,,
215.97,1.863e+1,1.863e+1,,
216.02,5.162e+1,5.162e+1,,
216.07,2.960e+2,2.960e+2,,
216.12,1.570e+3,1.570e+3,,
216.17,7.489e+3,7.489e+3,,
216.22,3.213e+4,3.213e+4,,
216.27,1.239e+5,1.239e+5,,
216.32,4.298e+5,4.298e+5,,
216.37,1.340e+6,1.340e+6,,
216.42,3.759e+6,3.759e+6,,
216.47,9.477e+6,9.477e+6,,
216.52,2.148e+7,2.148e+7,,
216.57,4.380e+7,4.380e+7,,
216.62,8.027e+7,8.027e+7,,
216.67,1.323e+8,1.323e+8,,
216.72,1.961e+8,1.961e+8,,
216.77,2.613e+8,2.613e+8,,
216.82,3.134e+8,3.134e+8,,
216.87,3.385e+8,3.385e+8,,
216.92,3.307e+8,3.307e+8,,
216.97,2.955e+8,2.955e+8,,
217.02,2.495e+8,2.495e+8,,
217.07,2.147e+8,2.147e+8,,
217.12,2.120e+8,2.120e+8,,
217.17,2.540e+8,2.540e+8,,
217.22,3.402e+8,3.402e+8,,
217.27,4.547e+8,4.547e+8,,
217.32,5.684e+8,5.684e+8,,
217.37,6.479e+8,6.479e+8,,
217.42,6.674e+8,6.674e+8,,
217.47,6.193e+8,6.193e+8,,
217.52,5.173e+8,5.173e+8,,
217.57,3.887e+8,3.887e+8,,
217.62,2.628e+8,2.628e+8,,
217.67,1.599e+8,1.599e+8,,
217.72,8.747e+7,8.747e+7,,
217.77,4.306e+7,4.306e+7,,
217.82,1.907e+7,1.907e+7,,
217.87,7.597e+6,7.597e+6,,
217.92,2.723e+6,2.723e+6,1.910e-11,
217.97,8.778e+5,8.778e+5,2.944e-10,
218.02,2.546e+5,2.546e+5,4.090e-9,
218.07,6.644e+4,6.644e+4,5.120e-8,
218.12,1.560e+4,1.560e+4,5.779e-7,
218.17,3.294e+3,3.294e+3,5.877e-6,
218.22,6.258e+2,6.258e+2,5.386e-5,
218.27,1.070e+2,1.070e+2,4.449e-4,
218.32,1.645e+1,1.644e+1,3.312e-3,
218.37,2.297e+0,2.275e+0,2.223e-2,
218.42,4.175e-1,2.831e-1,1.344e-1,
218.47,7.646e-1,3.169e-2,7.329e-1,
218.52,3.605e+0,3.191e-3,3.602e+0,
218.57,1.596e+1,2.891e-4,1.596e+1,
218.62,6.376e+1,2.357e-5,6.376e+1,
218.67,2.297e+2,1.728e-6,2.297e+2,
218.72,7.468e+2,1.140e-7,7.468e+2,
218.77,2.191e+3,,2.191e+3,
218.82,5.805e+3,,5.805e+3,
218.87,1.390e+4,,1.390e+4,
218.92,3.010e+4,,3.010e+4,
218.97,5.908e+4,,5.908e+4,
219.02,1.053e+5,,1.053e+5,
219.07,1.708e+5,,1.708e+5,
219.12,2.532e+5,2.986e-8,2.532e+5,
219.17,3.447e+5,4.554e-7,3.447e+5,
219.22,4.333e+5,6.267e-6,4.333e+5,
219.27,5.065e+5,7.782e-5,5.065e+5,
219.32,5.544e+5,8.718e-4,5.544e+5,
219.37,5.716e+5,8.812e-3,5.716e+5,
219.42,5.578e+5,8.037e-2,5.578e+5,
219.47,5.160e+5,6.614e-1,5.160e+5,
219.52,4.517e+5,4.910e+0,4.517e+5,
219.57,3.728e+5,3.290e+1,3.727e+5,
219.62,2.886e+5,1.988e+2,2.884e+5,2.315e-20
219.67,2.089e+5,1.084e+3,2.079e+5,3.353e-19
219.72,1.441e+5,5.335e+3,1.388e+5,4.384e-18
219.77,1.091e+5,2.369e+4,8.540e+4,5.175e-17
219.82,1.431e+5,9.488e+4,4.822e+4,5.513e-16
219.87,3.678e+5,3.429e+5,2.489e+4,5.301e-15
219.92,1.130e+6,1.118e+6,1.171e+4,4.601e-14
219.97,3.295e+6,3.290e+6,5.008e+3,3.605e-13
220.02,8.736e+6,8.735e+6,1.944e+3,2.550e-12
220.07,2.092e+7,2.092e+7,6.840e+2,1.628e-11
220.12,4.521e+7,4.521e+7,2.178e+2,9.380e-11
220.17,8.816e+7,8.816e+7,6.273e+1,4.879e-10
220.22,1.551e+8,1.551e+8,1.632e+1,2.291e-9
220.27,2.462e+8,2.462e+8,3.837e+0,9.708e-9
220.32,3.527e+8,3.527e+8,8.142e-1,3.714e-8
220.37,4.559e+8,4.559e+8,1.559e-1,1.282e-7
220.42,5.321e+8,5.321e+8,2.694e-2,3.997e-7
220.47,5.615e+8,5.615e+8,4.198e-3,1.125e-6
220.52,5.382e+8,5.382e+8,5.901e-4,2.856e-6
220.57,4.744e+8,4.744e+8,7.480e-5,6.548e-6
220.62,3.981e+8,3.981e+8,8.550e-6,1.355e-5
220.67,3.442e+8,3.442e+8,8.812e-7,2.532e-5
220.72,3.436e+8,3.436e+8,8.189e-8,4.273e-5
220.77,4.136e+8,4.136e+8,6.859e-9,6.515e-5
220.82,5.514e+8,5.514e+8,5.177e-10,8.989e-5
220.87,7.310e+8,7.310e+8,3.526e-11,1.126e-4
220.92,9.076e+8,9.076e+8,,1.288e-4
220.97,1.030e+9,1.030e+9,,1.365e-4
221.02,1.060e+9,1.060e+9,,1.377e-4
221.07,9.860e+8,9.860e+8,,1.379e-4
221.12,8.284e+8,8.284e+8,,1.438e-4
221.17,6.283e+8,6.283e+8,,1.594e-4
221.22,4.302e+8,4.302e+8,,1.828e-4
221.27,2.659e+8,2.659e+8,,2.069e-4
221.32,1.483e+8,1.483e+8,,2.218e-4
221.37,7.472e+7,7.472e+7,,2.198e-4
221.42,3.397e+7,3.397e+7,,1.987e-4
221.47,1.394e+7,1.394e+7,,1.631e-4
221.52,5.165e+6,5.165e+6,,1.211e-4
221.57,1.727e+6,1.727e+6,,8.128e-5
221.62,5.215e+5,5.215e+5,,4.928e-5
221.67,1.421e+5,1.421e+5,,2.698e-5
221.72,3.496e+4,3.496e+4,,1.334e-5
221.77,7.763e+3,7.763e+3,,5.958e-6
221.82,1.556e+3,1.556e+3,,2.402e-6
221.87,2.816e+2,2.816e+2,,8.747e-7
221.92,4.600e+1,4.600e+1,,2.876e-7
221.97,6.782e+0,6.782e+0,,8.538e-8
222.02,9.028e-1,9.028e-1,,2.289e-8
222.07,1.085e-1,1.085e-1,,5.540e-9
222.12,1.176e-2,1.176e-2,,1.211e-9
222.17,1.152e-3,1.152e-3,,2.390e-10
222.22,1.018e-4,1.018e-4,,4.260e-11
222.27,8.122e-6,8.122e-6,,6.856e-12
222.32,5.849e-7,5.849e-7,,9.963e-13
222.37,1.307e-13,,,1.307e-13
222.42,1.549e-14,,,1.549e-14
222.47,1.657e-15,,,1.657e-15
222.52,1.601e-16,,,1.601e-16
222.57,1.397e-17,,,1.397e-17
222.62,1.101e-18,,,1.101e-18
222.67,7.829e-20,,,7.829e-20
222.97,7.969e-12,,7.969e-12,
223.02,1.066e-10,,1.066e-10,
223.07,1.292e-9,,1.292e-9,
223.12,1.417e-8,,1.417e-8,
223.17,1.407e-7,,1.407e-7,
223.22,1.265e-6,,1.265e-6,
223.27,1.030e-5,,1.030e-5,
223.32,7.591e-5,,7.591e-5,
223.37,5.066e-4,,5.066e-4,
223.42,3.061e-3,,3.061e-3,
223.47,1.674e-2,,1.674e-2,
223.52,8.293e-2,,8.293e-2,
223.57,3.719e-1,,3.719e-1,
223.62,1.510e+0,,1.510e+0,
223.67,5.551e+0,,5.551e+0,
223.72,1.848e+1,,1.848e+1,
223.77,5.568e+1,,5.568e+1,
223.82,1.519e+2,,1.519e+2,
223.87,3.753e+2,,3.753e+2,
223.92,8.393e+2,,8.393e+2,
223.97,1.700e+3,,1.700e+3,
224.02,3.116e+3,,3.116e+3,
224.07,5.173e+3,,5.173e+3,
224.12,7.775e+3,,7.775e+3,
224.17,1.058e+4,,1.058e+4,
224.22,1.304e+4,,1.304e+4,
224.27,1.454e+4,,1.454e+4,
224.32,1.469e+4,,1.469e+4,
224.37,1.343e+4,,1.343e+4,
224.42,1.112e+4,1.549e-9,1.112e+4,
224.47,8.335e+3,2.210e-8,8.335e+3,
224.52,5.657e+3,2.857e-7,5.657e+3,
224.57,3.476e+3,3.349e-6,3.476e+3,
224.62,1.934e+3,3.559e-5,1.934e+3,
224.67,9.743e+2,3.429e-4,9.743e+2,
224.72,4.443e+2,2.995e-3,4.443e+2,
224.77,1.835e+2,2.372e-2,1.835e+2,
224.82,6.877e+1,1.702e-1,6.860e+1,
224.87,2.433e+1,1.108e+0,2.322e+1,
224.92,1.365e+1,6.538e+0,7.117e+0,
224.97,3.695e+1,3.497e+1,1.975e+0,
225.02,1.701e+2,1.696e+2,4.961e-1,
225.07,7.457e+2,7.456e+2,1.129e-1,
225.12,2.972e+3,2.972e+3,2.324e-2,
225.17,1.074e+4,1.074e+4,4.334e-3,
225.22,3.518e+4,3.518e+4,7.317e-4,
225.27,1.045e+5,1.045e+5,1.118e-4,
225.32,2.813e+5,2.813e+5,1.548e-5,
225.37,6.867e+5,6.867e+5,1.940e-6,
225.42,1.520e+6,1.520e+6,2.200e-7,
225.47,3.049e+6,3.049e+6,2.260e-8,
225.52,5.546e+6,5.546e+6,2.102e-9,
225.57,9.150e+6,9.150e+6,1.770e-10,
225.62,1.370e+7,1.370e+7,1.349e-11,
225.67,1.864e+7,1.864e+7,9.314e-13,
225.72,2.318e+7,2.318e+7,,
225.77,2.673e+7,2.673e+7,,
225.82,2.967e+7,2.967e+7,,
225.87,3.436e+7,3.436e+7,,
225.92,4.602e+7,4.602e+7,,
225.97,7.330e+7,7.330e+7,,
226.02,1.275e+8,1.275e+8,,
226.07,2.196e+8,2.196e+8,,
226.12,3.550e+8,3.550e+8,,
226.17,5.272e+8,5.272e+8,,
226.22,7.133e+8,7.133e+8,,
226.27,8.769e+8,8.769e+8,,
226.32,9.792e+8,9.792e+8,,
226.37,9.946e+8,9.946e+8,,
226.42,9.235e+8,9.235e+8,,
226.47,7.952e+8,7.952e+8,,
226.52,6.598e+8,6.598e+8,,
226.57,5.726e+8,5.726e+8,,
226.62,5.786e+8,5.786e+8,,
226.67,6.996e+8,6.996e+8,,
226.72,9.258e+8,9.258e+8,,
226.77,1.214e+9,1.214e+9,,
226.82,1.493e+9,1.493e+9,,
226.87,1.687e+9,1.687e+9,,
226.92,1.737e+9,1.737e+9,,
226.97,1.625e+9,1.625e+9,,
227.02,1.380e+9,1.380e+9,,
227.07,1.064e+9,1.064e+9,,
227.12,7.442e+8,7.442e+8,,
227.17,4.725e+8,4.725e+8,,
227.22,2.722e+8,2.722e+8,,
227.27,1.423e+8,1.423e+8,,
227.32,6.753e+7,6.753e+7,,
227.37,2.908e+7,2.908e+7,,
227.42,1.136e+7,1.136e+7,,
227.47,4.029e+6,4.029e+6,,
227.52,1.297e+6,1.297e+6,,
227.57,3.787e+5,3.787e+5,,
227.62,1.004e+5,1.004e+5,,
227.67,2.414e+4,2.414e+4,,
227.72,5.268e+3,5.268e+3,,
