Wavelength (nm),Sum,Ca I (3.8e-02),Ca II (9.5e-01),Ca III (1.3e-02)
200.11,4.203e-9,,,4.203e-9
200.16,4.013e-9,,,4.013e-9
200.21,3.508e-9,,,3.508e-9
200.26,2.845e-9,,,2.845e-9
200.31,2.167e-9,,,2.167e-9
200.36,1.559e-9,,,1.559e-9
200.41,1.057e-9,,,1.057e-9
200.46,6.683e-10,,,6.683e-10
200.51,3.892e-10,,,3.892e-10
200.56,2.060e-10,,,2.060e-10
200.61,9.817e-11,,,9.817e-11
200.66,4.180e-11,,,4.180e-11
200.72,1.285e-11,,,1.285e-11
200.77,4.214e-12,,,4.214e-12
200.82,1.223e-12,,,1.223e-12
200.87,3.136e-13,,,3.136e-13
200.92,7.108e-14,,,7.108e-14
200.97,1.424e-14,,,1.424e-14
201.02,2.583e-15,,,2.583e-15
201.07,9.016e-16,,,9.016e-16
201.12,3.462e-15,,,3.462e-15
201.17,2.020e-14,,,2.020e-14
201.22,1.058e-13,,,1.058e-13
201.27,4.904e-13,,,4.904e-13
201.32,2.011e-12,,,2.011e-12
201.37,7.293e-12,,,7.293e-12
201.42,2.339e-11,,,2.339e-11
201.47,6.638e-11,,,6.638e-11
201.52,1.666e-10,,,1.666e-10
201.57,3.699e-10,,,3.699e-10
201.62,7.263e-10,,,7.263e-10
201.67,1.262e-9,,,1.262e-9
201.72,1.938e-9,,,1.938e-9
201.77,2.634e-9,,,2.634e-9
201.82,3.166e-9,,,3.166e-9
201.87,3.367e-9,,,3.367e-9
201.92,3.166e-9,,,3.166e-9
201.97,2.634e-9,,,2.634e-9
202.02,1.939e-9,,,1.939e-9
202.07,1.264e-9,,,1.264e-9
202.12,7.363e-10,,,7.363e-10
202.17,4.012e-10,,,4.012e-10
202.22,2.530e-10,,,2.530e-10
202.27,2.775e-10,,,2.775e-10
202.32,4.806e-10,,,4.806e-10
202.37,8.843e-10,,,8.843e-10
202.42,1.492e-9,,,1.492e-9
202.47,2.244e-9,,,2.244e-9
202.52,2.994e-9,,,2.994e-9
202.57,3.540e-9,,,3.540e-9
202.62,3.710e-9,,,3.710e-9
202.67,3.446e-9,,,3.446e-9
202.72,2.838e-9,,,2.838e-9
202.77,2.074e-9,,,2.074e-9
202.82,1.351e-9,,,1.351e-9
202.87,8.039e-10,,,8.039e-10
202.92,4.916e-10,,,4.916e-10
202.97,4.357e-10,,,4.357e-10
