Wavelength (nm),Sum,Cr I (8.9e-02),Cr II (9.1e-01)
  204.32,9.14E-07,,9.14E-07
  204.37,1.62E-05,,1.62E-05
  204.42,2.55E-04,,2.55E-04
  204.47,3.57E-03,,3.57E-03
  204.52,4.44E-02,,4.44E-02
  204.57,4.91E-01,,4.91E-01
  204.62,4.82E+00,,4.82E+00
  204.67,4.20E+01,,4.20E+01
  204.72,3.25E+02,,3.25E+02
  204.77,2.24E+03,,2.24E+03
  204.82,1.37E+04,,1.37E+04
  204.87,7.43E+04,,7.43E+04
  204.92,3.59E+05,,3.59E+05
  204.97,1.54E+06,,1.54E+06
  205.02,5.85E+06,,5.85E+06
  205.07,1.98E+07,,1.98E+07
  205.12,5.95E+07,,5.95E+07
  205.17,1.59E+08,,1.59E+08
  205.22,3.77E+08,,3.77E+08
  205.27,7.94E+08,,7.94E+08
  205.32,1.49E+09,,1.49E+09
  205.37,2.47E+09,,2.47E+09
  205.42,3.66E+09,,3.66E+09
  205.47,4.80E+09,,4.80E+09
  205.52,5.60E+09,,5.60E+09
  205.57,5.80E+09,,5.80E+09
  205.62,5.34E+09,,5.34E+09
  205.67,4.38E+09,,4.38E+09
  205.72,3.22E+09,,3.22E+09
  205.77,2.17E+09,,2.17E+09
  205.82,1.46E+09,,1.46E+09
  205.87,1.19E+09,,1.19E+09
  205.92,1.38E+09,,1.38E+09
  205.97,1.96E+09,,1.96E+09
  206.02,2.76E+09,,2.76E+09
  206.07,3.59E+09,,3.59E+09
  206.12,4.20E+09,,4.20E+09
  206.17,4.40E+09,,4.40E+09
  206.22,4.19E+09,,4.19E+09
  206.27,3.71E+09,,3.71E+09
  206.32,3.21E+09,,3.21E+09
  206.37,2.90E+09,,2.90E+09
  206.42,2.85E+09,,2.85E+09
  206.47,2.97E+09,,2.97E+09
  206.52,3.07E+09,,3.07E+09
  206.57,2.98E+09,,2.98E+09
  206.62,2.64E+09,,2.64E+09
  206.67,2.10E+09,,2.10E+09
  206.72,1.49E+09,,1.49E+09
  206.77,9.42E+08,,9.42E+08
  206.82,5.30E+08,,5.30E+08
  206.87,2.66E+08,,2.66E+08
  206.92,1.18E+08,,1.18E+08
  206.97,4.69E+07,,4.69E+07
  207.02,1.65E+07,,1.65E+07
  207.07,5.18E+06,,5.18E+06
  207.12,1.44E+06,,1.44E+06
  207.17,3.58E+05,,3.58E+05
  207.22,7.89E+04,,7.89E+04
  207.27,1.55E+04,,1.55E+04
  207.32,2.70E+03,,2.70E+03
  207.37,4.19E+02,,4.19E+02
  207.42,5.78E+01,,5.78E+01
  207.47,7.09E+00,,7.09E+00
  207.52,7.74E-01,,7.74E-01
  207.57,7.51E-02,,7.51E-02
  207.62,6.49E-03,,6.49E-03
  207.67,4.98E-04,,4.98E-04
  207.72,3.40E-05,,3.40E-05
  207.77,2.07E-06,,2.07E-06
  234.03,5.97E-09,5.97E-09,
  234.08,7.14E-08,7.14E-08,
  234.13,7.79E-07,7.79E-07,
  234.18,7.77E-06,7.77E-06,
  234.23,7.09E-05,7.09E-05,
  234.28,5.90E-04,5.90E-04,
  234.33,4.49E-03,4.49E-03,
  234.38,3.13E-02,3.13E-02,
  234.43,1.99E-01,1.99E-01,
  234.48,1.15E+00,1.15E+00,
  234.53,6.12E+00,6.12E+00,
  234.58,2.97E+01,2.97E+01,
  234.63,1.31E+02,1.31E+02,
  234.68,5.32E+02,5.32E+02,
  234.73,1.97E+03,1.97E+03,
  234.78,6.65E+03,6.65E+03,
  234.83,2.05E+04,2.05E+04,
  234.88,5.80E+04,5.80E+04,
  234.93,1.49E+05,1.49E+05,
  234.98,3.52E+05,3.52E+05,
  235.03,7.58E+05,7.58E+05,
  235.08,1.49E+06,1.49E+06,
  235.13,2.68E+06,2.68E+06,
  235.18,4.40E+06,4.40E+06,
  235.23,6.61E+06,6.61E+06,
  235.28,9.06E+06,9.06E+06,
  235.33,1.14E+07,1.14E+07,
  235.38,1.30E+07,1.30E+07,
  235.43,1.36E+07,1.36E+07,
  235.48,1.30E+07,1.30E+07,
  235.53,1.14E+07,1.14E+07,
  235.58,9.06E+06,9.06E+06,
  235.63,6.61E+06,6.61E+06,
  235.68,4.40E+06,4.40E+06,
  235.73,2.68E+06,2.68E+06,
  235.78,1.50E+06,1.50E+06,
  235.83,7.78E+05,7.78E+05,
  235.88,4.13E+05,4.13E+05,
  235.93,3.18E+05,3.18E+05,
  235.98,4.89E+05,4.89E+05,
  236.03,1.03E+06,1.03E+06,
  236.08,2.18E+06,2.18E+06,
  236.13,4.32E+06,4.32E+06,
  236.18,7.88E+06,7.88E+06,
  236.23,1.33E+07,1.33E+07,
  236.28,2.07E+07,2.07E+07,
  236.33,2.99E+07,2.99E+07,
  236.38,4.01E+07,4.01E+07,
  236.43,5.01E+07,5.01E+07,
  236.48,5.83E+07,5.83E+07,
  236.53,6.35E+07,6.35E+07,
  236.58,6.46E+07,6.46E+07,
  236.63,6.15E+07,6.15E+07,
  236.68,5.47E+07,5.47E+07,
  236.73,4.55E+07,4.55E+07,
  236.78,3.52E+07,3.52E+07,
  236.83,2.54E+07,2.54E+07,
  236.88,1.70E+07,1.70E+07,
  236.93,1.06E+07,1.06E+07,
  236.98,6.14E+06,6.14E+06,
  237.03,3.39E+06,3.39E+06,
  237.08,1.96E+06,1.96E+06,
  237.13,1.49E+06,1.49E+06,
  237.18,1.76E+06,1.76E+06,
  237.23,2.63E+06,2.63E+06,
  237.28,3.99E+06,3.99E+06,
  237.33,5.70E+06,5.70E+06,
  237.38,7.49E+06,7.49E+06,
  237.43,9.02E+06,9.02E+06,
  237.48,9.94E+06,9.94E+06,
  237.53,1.00E+07,1.00E+07,
  237.58,9.26E+06,9.26E+06,
  237.63,7.84E+06,7.84E+06,
  237.68,6.10E+06,6.10E+06,
  237.73,4.43E+06,4.43E+06,
  237.78,3.19E+06,3.19E+06,
  237.83,2.70E+06,2.70E+06,
  237.88,3.32E+06,3.32E+06,
  237.93,5.59E+06,5.59E+06,
  237.98,1.02E+07,1.02E+07,
  238.03,1.78E+07,1.78E+07,
  238.08,2.90E+07,2.90E+07,
  238.13,4.34E+07,4.34E+07,
  238.18,5.97E+07,5.97E+07,
  238.23,7.57E+07,7.57E+07,
  238.28,8.87E+07,8.87E+07,
  238.33,9.64E+07,9.64E+07,
  238.38,9.77E+07,9.77E+07,
  238.43,9.29E+07,9.29E+07,
  238.48,8.38E+07,8.38E+07,
  238.53,7.24E+07,7.24E+07,
  238.58,6.08E+07,6.08E+07,
  238.63,5.04E+07,5.04E+07,
  238.68,4.22E+07,4.22E+07,
  238.73,3.64E+07,3.64E+07,
  238.78,3.27E+07,3.27E+07,
  238.83,3.05E+07,3.05E+07,
  238.88,2.89E+07,2.89E+07,
  238.93,2.68E+07,2.68E+07,
  238.98,2.38E+07,2.38E+07,
  239.03,1.99E+07,1.99E+07,
  239.08,1.55E+07,1.55E+07,
  239.13,1.11E+07,1.11E+07,
  239.18,7.30E+06,7.30E+06,
  239.23,4.42E+06,4.42E+06,
  239.28,2.45E+06,2.45E+06,
  239.33,1.25E+06,1.25E+06,
  239.38,5.83E+05,5.83E+05,
  239.43,2.49E+05,2.49E+05,
  239.48,9.76E+04,9.76E+04,
  239.53,3.50E+04,3.50E+04,
  239.58,1.15E+04,1.15E+04,
  239.63,3.47E+03,3.47E+03,
  239.68,9.57E+02,9.57E+02,
  239.73,2.42E+02,2.42E+02,
  239.78,5.62E+01,5.62E+01,
  239.83,1.31E+01,1.31E+01,
  239.88,9.29E+00,9.29E+00,
  239.93,3.68E+01,3.68E+01,
  239.98,1.74E+02,1.74E+02,
  240.03,7.64E+02,7.64E+02,
  240.08,3.08E+03,3.08E+03,
  240.13,1.14E+04,1.14E+04,
  240.18,3.85E+04,3.85E+04,
  240.23,1.20E+05,1.20E+05,
  240.28,3.42E+05,3.42E+05,
  240.33,8.96E+05,8.96E+05,
  240.38,2.15E+06,2.15E+06,
  240.43,4.75E+06,4.75E+06,
  240.48,9.60E+06,9.60E+06,
  240.53,1.78E+07,1.78E+07,
  240.58,3.04E+07,3.04E+07,
  240.63,4.75E+07,4.75E+07,
  240.68,6.81E+07,6.81E+07,
  240.73,8.96E+07,8.96E+07,
  240.78,1.08E+08,1.08E+08,
  240.83,1.20E+08,1.20E+08,
  240.88,1.22E+08,1.22E+08,
  240.93,1.14E+08,1.14E+08,
  240.98,9.75E+07,9.75E+07,
  241.03,7.66E+07,7.66E+07,
  241.08,5.53E+07,5.53E+07,
  241.13,3.66E+07,3.66E+07,
  241.18,2.22E+07,2.22E+07,
  241.23,1.24E+07,1.24E+07,
  241.28,6.33E+06,6.33E+06,
  241.33,2.97E+06,2.97E+06,
  241.38,1.28E+06,1.28E+06,
  241.43,5.05E+05,5.05E+05,
  241.48,1.83E+05,1.83E+05,
  241.53,6.10E+04,6.10E+04,
  241.58,1.86E+04,1.86E+04,
  241.63,5.22E+03,5.22E+03,
  241.68,1.34E+03,1.34E+03,
  241.73,3.17E+02,3.17E+02,
  241.78,6.86E+01,6.86E+01,
  241.83,1.36E+01,1.36E+01,
  241.88,2.49E+00,2.49E+00,
  241.93,4.16E-01,4.16E-01,
  241.98,6.39E-02,6.39E-02,
  242.03,9.00E-03,9.00E-03,
  242.08,1.16E-03,1.16E-03,
  242.13,1.38E-04,1.38E-04,
  242.18,1.51E-05,1.51E-05,
  242.23,1.51E-06,1.51E-06,
  242.28,1.38E-07,1.38E-07,
  242.33,1.16E-08,1.16E-08,
  246.43,5.35E-09,5.35E-09,
  246.48,5.71E-08,5.71E-08,
  246.53,5.62E-07,5.62E-07,
  246.58,5.09E-06,5.09E-06,
  246.63,4.26E-05,4.26E-05,
  246.68,3.28E-04,3.28E-04,
  246.73,2.33E-03,2.33E-03,
  246.78,1.53E-02,1.53E-02,
  246.83,9.21E-02,9.21E-02,
  246.88,5.13E-01,5.13E-01,
  246.93,2.63E+00,2.63E+00,
  246.98,1.24E+01,1.24E+01,
  247.03,5.42E+01,5.42E+01,
  247.08,2.18E+02,2.18E+02,
  247.13,8.08E+02,8.08E+02,
  247.18,2.76E+03,2.76E+03,
  247.23,8.69E+03,8.69E+03,
  247.28,2.52E+04,2.52E+04,
  247.33,6.75E+04,6.75E+04,
  247.38,1.67E+05,1.67E+05,
  247.43,3.79E+05,3.79E+05,
  247.48,7.94E+05,7.94E+05,
  247.53,1.54E+06,1.54E+06,
  247.58,2.73E+06,2.73E+06,
  247.63,4.49E+06,4.49E+06,
  247.68,6.80E+06,6.80E+06,
  247.73,9.49E+06,9.49E+06,
  247.78,1.22E+07,1.22E+07,
  247.83,1.45E+07,1.45E+07,
  247.88,1.59E+07,1.59E+07,
  247.93,1.60E+07,1.60E+07,
  247.98,1.49E+07,1.49E+07,
  248.03,1.27E+07,1.27E+07,
  248.08,1.01E+07,1.01E+07,
  248.13,7.32E+06,7.32E+06,
  248.18,4.91E+06,4.91E+06,
  248.23,3.04E+06,3.04E+06,
  248.28,1.73E+06,1.73E+06,
  248.33,9.12E+05,9.12E+05,
  248.38,4.42E+05,4.42E+05,
  248.43,1.98E+05,1.98E+05,
