Wavelength (nm),Sum,Al I (6.4e-02),Al II (4.4e-01),Al III (1.3e-05),Cr I (4.5e-02),Cr II (4.6e-01)
200.41,2.652e-11,,2.652e-11,,,
200.46,4.832e-10,,4.832e-10,,,
200.51,7.788e-9,,7.788e-9,,,
200.56,1.110e-7,,1.110e-7,,,
200.61,1.400e-6,,1.400e-6,,,
200.66,1.562e-5,,1.562e-5,,,
200.72,2.400e-4,,2.400e-4,,,
200.77,2.045e-3,,2.045e-3,,,
200.82,1.541e-2,,1.541e-2,,,
200.87,1.027e-1,,1.027e-1,,,
200.92,6.059e-1,,6.059e-1,,,
200.97,3.162e+0,,3.162e+0,,,
201.02,1.460e+1,,1.460e+1,,,
201.07,5.961e+1,,5.961e+1,,,
201.12,2.154e+2,,2.154e+2,,,
201.17,6.888e+2,,6.888e+2,,,
201.22,1.948e+3,,1.948e+3,,,
201.27,4.877e+3,,4.877e+3,,,
201.32,1.080e+4,,1.080e+4,,,
201.37,2.116e+4,,2.116e+4,,,
201.42,3.670e+4,,3.670e+4,,,
201.47,5.631e+4,,5.631e+4,,,
201.52,7.645e+4,,7.645e+4,,,
201.57,9.185e+4,,9.185e+4,,,
201.62,9.765e+4,,9.765e+4,,,
201.67,9.189e+4,,9.189e+4,,,
201.72,7.656e+4,,7.656e+4,,,
201.77,5.658e+4,,5.658e+4,,,
201.82,3.736e+4,,3.736e+4,,,
201.87,2.269e+4,,2.269e+4,,,
201.92,1.403e+4,,1.403e+4,,,
201.97,1.102e+4,,1.102e+4,,,
202.02,1.231e+4,,1.231e+4,,,
202.07,1.619e+4,,1.619e+4,,,
202.12,2.075e+4,,2.075e+4,,,
202.17,2.413e+4,,2.413e+4,,,
202.22,2.498e+4,,2.498e+4,,,
202.27,2.292e+4,,2.292e+4,,,
202.32,1.862e+4,,1.862e+4,,,
202.37,1.338e+4,,1.338e+4,,,
202.42,8.513e+3,,8.513e+3,,,
202.47,4.791e+3,,4.791e+3,,,
202.52,2.386e+3,,2.386e+3,,,
202.57,1.052e+3,,1.052e+3,,,
202.62,4.102e+2,,4.102e+2,,,
202.67,1.416e+2,,1.416e+2,,,
202.72,4.323e+1,,4.323e+1,,,
202.77,1.168e+1,,1.168e+1,,,
202.82,2.794e+0,,2.794e+0,,,
202.87,5.912e-1,,5.912e-1,,,
202.92,1.107e-1,,1.107e-1,,,
202.97,1.834e-2,,1.834e-2,,,
203.02,2.690e-3,,2.690e-3,,,
203.07,3.490e-4,,3.490e-4,,,
203.12,4.007e-5,,4.007e-5,,,
203.17,4.071e-6,,4.071e-6,,,
203.22,3.660e-7,,3.660e-7,,,
203.27,2.912e-8,,2.912e-8,,,
203.32,2.050e-9,,2.050e-9,,,
203.37,1.277e-10,,1.277e-10,,,
203.42,7.039e-12,,7.039e-12,,,
204.32,4.570e-7,,,,,4.570e-7
204.37,8.103e-6,,,,,8.103e-6
204.42,1.277e-4,,,,,1.277e-4
204.47,1.787e-3,,,,,1.787e-3
204.52,2.221e-2,,,,,2.221e-2
204.57,2.454e-1,,,,,2.454e-1
204.62,2.408e+0,,,,,2.408e+0
204.67,2.100e+1,,,,,2.100e+1
204.72,1.626e+2,,,,,1.626e+2
204.77,1.119e+3,,,,,1.119e+3
204.82,6.840e+3,,,,,6.840e+3
204.87,3.715e+4,,,,,3.715e+4
204.92,1.792e+5,,,,,1.792e+5
204.97,7.683e+5,,,,,7.683e+5
205.02,2.926e+6,,,,,2.926e+6
205.07,9.898e+6,,,,,9.898e+6
205.12,2.975e+7,,,,,2.975e+7
205.17,7.944e+7,,,,,7.944e+7
205.22,1.884e+8,,,,,1.884e+8
205.27,3.971e+8,,,,,3.971e+8
205.32,7.435e+8,,,,,7.435e+8
205.37,1.237e+9,,,,,1.237e+9
205.42,1.827e+9,,,,,1.827e+9
205.47,2.399e+9,,,,,2.399e+9
205.52,2.798e+9,,,,,2.798e+9
205.57,2.900e+9,,,,,2.900e+9
205.62,2.671e+9,,,,,2.671e+9
205.67,2.190e+9,,,,,2.190e+9
205.72,1.608e+9,,,,,1.608e+9
205.77,1.084e+9,,,,,1.084e+9
205.82,7.289e+8,,,,,7.289e+8
205.87,5.972e+8,,,,,5.972e+8
205.92,6.917e+8,,,,,6.917e+8
205.97,9.775e+8,,,,,9.775e+8
206.02,1.382e+9,,,,,1.382e+9
206.07,1.796e+9,,,,,1.796e+9
206.12,2.098e+9,,,4.620e-21,,2.098e+9
206.17,2.202e+9,,1.227e-10,7.845e-20,,2.202e+9
