Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
200.11,3.660e-9,,3.660e-9
200.16,6.488e-8,,6.488e-8
200.21,1.017e-6,,1.017e-6
200.26,1.408e-5,,1.408e-5
200.31,1.724e-4,,1.724e-4
200.36,1.865e-3,,1.865e-3
200.41,1.784e-2,,1.784e-2
200.46,1.508e-1,,1.508e-1
200.51,1.127e+0,,1.127e+0
200.56,7.447e+0,,7.447e+0
200.61,4.349e+1,,4.349e+1
200.66,2.246e+2,,2.246e+2
200.72,1.369e+3,,1.369e+3
200.77,5.394e+3,,5.394e+3
200.82,1.882e+4,,1.882e+4
200.87,5.818e+4,,5.818e+4
200.92,1.598e+5,,1.598e+5
200.97,3.920e+5,,3.920e+5
201.02,8.646e+5,,8.646e+5
201.07,1.738e+6,,1.738e+6
201.12,3.246e+6,,3.246e+6
201.17,5.768e+6,,5.768e+6
201.22,9.955e+6,1.383e-7,9.955e+6
201.27,1.679e+7,2.492e-6,1.679e+7
201.32,2.735e+7,3.976e-5,2.735e+7
201.37,4.205e+7,5.615e-4,4.205e+7
201.42,5.966e+7,7.019e-3,5.966e+7
201.47,7.675e+7,7.765e-2,7.675e+7
201.52,8.857e+7,7.604e-1,8.857e+7
201.57,9.108e+7,6.591e+0,9.108e+7
201.62,8.317e+7,5.057e+1,8.317e+7
201.67,6.730e+7,3.434e+2,6.730e+7
201.72,4.821e+7,2.064e+3,4.821e+7
201.77,3.056e+7,1.098e+4,3.055e+7
201.82,1.718e+7,5.172e+4,1.713e+7
201.87,8.712e+6,2.156e+5,8.496e+6
201.92,4.549e+6,7.955e+5,3.753e+6
201.97,4.178e+6,2.598e+6,1.580e+6
202.02,8.537e+6,7.510e+6,1.026e+6
202.07,2.119e+7,1.922e+7,1.971e+6
202.12,4.908e+7,4.352e+7,5.560e+6
202.17,1.021e+8,8.725e+7,1.482e+7
202.22,1.900e+8,1.548e+8,3.519e+7
202.27,3.172e+8,2.431e+8,7.402e+7
202.32,4.758e+8,3.380e+8,1.378e+8
202.37,6.431e+8,4.159e+8,2.272e+8
202.42,7.845e+8,4.530e+8,3.315e+8
202.47,8.650e+8,4.367e+8,4.283e+8
202.52,8.625e+8,3.727e+8,4.898e+8
202.57,7.776e+8,2.815e+8,4.961e+8
202.62,6.330e+8,1.882e+8,4.448e+8
202.67,4.647e+8,1.114e+8,3.533e+8
202.72,3.070e+8,5.833e+7,2.487e+8
202.77,1.825e+8,2.704e+7,1.555e+8
202.82,9.799e+7,1.110e+7,8.689e+7
202.87,4.843e+7,4.031e+6,4.440e+7
202.92,2.354e+7,1.296e+6,2.225e+7
202.97,1.322e+7,3.688e+5,1.285e+7
203.02,1.028e+7,9.291e+4,1.019e+7
203.07,1.123e+7,2.071e+4,1.121e+7
203.12,1.658e+7,4.088e+3,1.657e+7
203.17,3.227e+7,7.141e+2,3.227e+7
203.22,7.233e+7,1.104e+2,7.233e+7
203.27,1.616e+8,1.511e+1,1.616e+8
203.32,3.347e+8,1.831e+0,3.347e+8
203.37,6.279e+8,1.963e-1,6.279e+8
203.42,1.060e+9,1.863e-2,1.060e+9
203.47,1.610e+9,1.565e-3,1.610e+9
203.52,2.204e+9,1.164e-4,2.204e+9
203.57,2.723e+9,7.658e-6,2.723e+9
203.62,3.042e+9,4.462e-7,3.042e+9
203.67,3.076e+9,2.301e-8,3.076e+9
203.72,2.815e+9,,2.815e+9
203.77,2.330e+9,,2.330e+9
203.82,1.742e+9,,1.742e+9
203.87,1.176e+9,,1.176e+9
203.92,7.228e+8,,7.228e+8
203.97,4.225e+8,,4.225e+8
204.02,2.802e+8,,2.802e+8
204.07,2.882e+8,,2.882e+8
204.12,4.406e+8,,4.406e+8
204.17,7.288e+8,,7.288e+8
204.22,1.121e+9,,1.121e+9
204.27,1.545e+9,,1.545e+9
204.32,1.893e+9,,1.893e+9
204.37,2.058e+9,,2.058e+9
204.42,1.986e+9,,1.986e+9
204.47,1.700e+9,,1.700e+9
204.52,1.291e+9,,1.291e+9
204.57,8.697e+8,,8.697e+8
204.62,5.200e+8,,5.200e+8
204.67,2.760e+8,,2.760e+8
204.72,1.302e+8,,1.302e+8
204.77,5.475e+7,,5.475e+7
204.82,2.067e+7,,2.067e+7
204.87,7.221e+6,,7.221e+6
204.92,2.839e+6,,2.839e+6
204.97,2.758e+6,,2.758e+6
205.02,6.902e+6,,6.902e+6
205.07,1.958e+7,,1.958e+7
205.12,5.083e+7,,5.083e+7
205.17,1.176e+8,,1.176e+8
205.22,2.420e+8,,2.420e+8
205.27,4.423e+8,,4.423e+8
205.32,7.183e+8,,7.183e+8
205.37,1.036e+9,,1.036e+9
205.42,1.328e+9,,1.328e+9
205.47,1.513e+9,,1.513e+9
205.52,1.530e+9,,1.530e+9
205.57,1.375e+9,,1.375e+9
205.62,1.098e+9,,1.098e+9
205.67,7.787e+8,,7.787e+8
205.72,4.906e+8,,4.906e+8
205.77,2.746e+8,,2.746e+8
205.82,1.366e+8,,1.366e+8
205.87,6.041e+7,,6.041e+7
205.92,2.389e+7,,2.389e+7
205.97,8.690e+6,,8.690e+6
206.02,3.337e+6,,3.337e+6
206.07,1.940e+6,,1.940e+6
206.12,1.913e+6,,1.913e+6
206.17,2.221e+6,,2.221e+6
206.22,2.452e+6,,2.452e+6
206.27,2.461e+6,,2.461e+6
206.32,2.257e+6,,2.257e+6
206.37,1.950e+6,,1.950e+6
206.42,1.679e+6,,1.679e+6
206.47,1.537e+6,,1.537e+6
206.52,1.532e+6,,1.532e+6
206.57,1.590e+6,,1.590e+6
206.62,1.613e+6,,1.613e+6
206.67,1.531e+6,,1.531e+6
206.72,1.341e+6,,1.341e+6
206.77,1.094e+6,,1.094e+6
206.82,8.604e+5,,8.604e+5
206.87,6.855e+5,,6.855e+5
206.92,5.755e+5,,5.755e+5
206.97,5.053e+5,,5.053e+5
207.02,4.424e+5,,4.424e+5
207.07,3.675e+5,,3.675e+5
207.12,2.804e+5,,2.804e+5
207.17,1.932e+5,,1.932e+5
207.22,1.195e+5,,1.195e+5
207.27,6.722e+4,,6.722e+4
207.32,3.850e+4,,3.850e+4
207.37,3.550e+4,,3.550e+4
207.42,6.992e+4,,6.992e+4
207.47,1.743e+5,,1.743e+5
207.52,4.112e+5,,4.112e+5
207.57,8.714e+5,,8.714e+5
207.62,1.646e+6,,1.646e+6
207.67,2.771e+6,,2.771e+6
207.72,4.155e+6,,4.155e+6
207.77,5.549e+6,,5.549e+6
207.82,6.601e+6,,6.601e+6
207.87,6.994e+6,,6.994e+6
207.92,6.601e+6,,6.601e+6
207.97,5.550e+6,,5.550e+6
208.02,4.157e+6,,4.157e+6
208.07,2.779e+6,,2.779e+6
208.12,1.666e+6,,1.666e+6
208.17,9.205e+5,,9.205e+5
208.22,5.200e+5,,5.200e+5
208.27,3.928e+5,,3.928e+5
208.32,4.740e+5,,4.740e+5
208.37,7.353e+5,,7.353e+5
208.42,1.198e+6,,1.198e+6
208.47,1.935e+6,,1.935e+6
208.52,3.059e+6,,3.059e+6
208.57,4.661e+6,,4.661e+6
208.62,6.709e+6,,6.709e+6
208.67,8.947e+6,,8.947e+6
208.72,1.089e+7,,1.089e+7
208.77,1.199e+7,,1.199e+7
208.82,1.185e+7,,1.185e+7
208.87,1.051e+7,,1.051e+7
208.92,8.336e+6,,8.336e+6
208.97,5.939e+6,,5.939e+6
209.02,3.852e+6,,3.852e+6
209.07,2.385e+6,,2.385e+6
209.12,1.595e+6,,1.595e+6
209.17,1.364e+6,,1.364e+6
209.22,1.492e+6,,1.492e+6
209.27,1.766e+6,,1.766e+6
209.32,2.002e+6,,2.002e+6
209.37,2.086e+6,,2.086e+6
209.42,2.006e+6,,2.006e+6
209.47,1.857e+6,,1.857e+6
209.52,1.811e+6,,1.811e+6
209.57,2.055e+6,,2.055e+6
209.62,2.708e+6,,2.708e+6
209.67,3.747e+6,,3.747e+6
209.72,4.974e+6,,4.974e+6
209.77,6.060e+6,,6.060e+6
209.82,6.675e+6,,6.675e+6
209.87,6.674e+6,,6.674e+6
209.92,6.302e+6,,6.302e+6
209.97,6.421e+6,,6.421e+6
210.02,8.921e+6,,8.921e+6
210.07,1.739e+7,,1.739e+7
210.12,3.789e+7,,3.789e+7
210.17,7.892e+7,,7.892e+7
210.22,1.494e+8,,1.494e+8
210.27,2.536e+8,,2.536e+8
210.32,3.849e+8,,3.849e+8
210.37,5.220e+8,,5.220e+8
210.42,6.324e+8,,6.324e+8
210.47,6.843e+8,,6.843e+8
210.52,6.616e+8,,6.616e+8
210.57,5.714e+8,,5.714e+8
210.62,4.412e+8,,4.412e+8
210.67,3.056e+8,,3.056e+8
210.72,1.932e+8,,1.932e+8
210.77,1.207e+8,,1.207e+8
210.82,9.597e+7,,9.597e+7
210.87,1.252e+8,,1.252e+8
210.92,2.174e+8,,2.174e+8
210.97,3.810e+8,,3.810e+8
211.02,6.128e+8,,6.128e+8
211.07,8.857e+8,,8.857e+8
211.12,1.146e+9,,1.146e+9
211.17,1.325e+9,,1.325e+9
211.22,1.370e+9,,1.370e+9
211.27,1.267e+9,,1.267e+9
211.32,1.047e+9,,1.047e+9
211.37,7.744e+8,,7.744e+8
211.42,5.130e+8,,5.130e+8
211.47,3.059e+8,,3.059e+8
211.52,1.665e+8,,1.665e+8
211.57,8.619e+7,,8.619e+7
211.62,4.669e+7,,4.669e+7
211.67,3.024e+7,,3.024e+7
211.72,2.441e+7,,2.441e+7
211.77,2.300e+7,,2.300e+7
211.82,2.555e+7,,2.555e+7
211.87,3.709e+7,,3.709e+7
211.92,6.865e+7,,6.865e+7
211.97,1.372e+8,,1.372e+8
212.02,2.627e+8,,2.627e+8
212.07,4.602e+8,,4.602e+8
212.12,7.283e+8,,7.283e+8
212.17,1.039e+9,,1.039e+9
212.22,1.343e+9,,1.343e+9
212.27,1.585e+9,,1.585e+9
212.32,1.737e+9,,1.737e+9
212.37,1.808e+9,,1.808e+9
212.42,1.834e+9,,1.834e+9
212.47,1.852e+9,,1.852e+9
212.52,1.859e+9,,1.859e+9
212.57,1.823e+9,,1.823e+9
212.62,1.698e+9,,1.698e+9
212.67,1.470e+9,,1.470e+9
212.72,1.163e+9,,1.163e+9
212.77,8.335e+8,,8.335e+8
212.82,5.382e+8,,5.382e+8
212.87,3.125e+8,,3.125e+8
212.92,1.634e+8,,1.634e+8
212.97,7.856e+7,,7.856e+7
213.02,3.995e+7,,3.995e+7
213.07,3.687e+7,,3.687e+7
213.12,7.615e+7,,7.615e+7
213.17,1.926e+8,,1.926e+8
213.22,4.597e+8,,4.597e+8
213.27,9.931e+8,,9.931e+8
213.32,1.929e+9,,1.929e+9
213.37,3.362e+9,,3.362e+9
213.42,5.257e+9,,5.257e+9
213.47,7.373e+9,,7.373e+9
213.52,9.271e+9,,9.271e+9
213.57,1.045e+10,,1.045e+10
213.62,1.056e+10,,1.056e+10
213.67,9.566e+9,,9.566e+9
213.72,7.766e+9,,7.766e+9
213.77,5.651e+9,,5.651e+9
213.82,3.685e+9,,3.685e+9
213.87,2.154e+9,,2.154e+9
213.92,1.128e+9,,1.128e+9
213.97,5.296e+8,,5.296e+8
214.02,2.228e+8,,2.228e+8
214.07,8.402e+7,,8.402e+7
214.12,2.841e+7,,2.841e+7
214.17,8.669e+6,,8.669e+6
214.22,2.530e+6,,2.530e+6
214.27,1.118e+6,,1.118e+6
214.32,1.695e+6,,1.695e+6
214.37,4.498e+6,,4.498e+6
214.42,1.226e+7,,1.226e+7
214.47,3.137e+7,,3.137e+7
214.52,7.363e+7,,7.363e+7
214.57,1.569e+8,,1.569e+8
214.62,3.017e+8,,3.017e+8
214.67,5.223e+8,,5.223e+8
214.72,8.126e+8,,8.126e+8
214.77,1.136e+9,,1.136e+9
214.82,1.425e+9,,1.425e+9
214.87,1.605e+9,,1.605e+9
214.92,1.622e+9,,1.622e+9
214.97,1.472e+9,,1.472e+9
215.02,1.200e+9,,1.200e+9
215.07,8.780e+8,,8.780e+8
215.12,5.776e+8,,5.776e+8
215.17,3.420e+8,,3.420e+8
215.22,1.827e+8,9.025e-7,1.827e+8
215.27,8.837e+7,1.341e-5,8.837e+7
215.32,3.901e+7,1.791e-4,3.901e+7
215.37,1.589e+7,2.150e-3,1.589e+7
215.42,6.072e+6,2.320e-2,6.072e+6
215.47,2.223e+6,2.250e-1,2.223e+6
215.52,7.952e+5,1.961e+0,7.952e+5
215.57,2.843e+5,1.537e+1,2.843e+5
215.62,1.133e+5,1.082e+2,1.132e+5
215.67,8.224e+4,6.850e+2,8.155e+4
215.72,1.410e+5,3.897e+3,1.371e+5
215.77,3.133e+5,1.993e+4,2.934e+5
215.82,6.877e+5,9.160e+4,5.961e+5
215.87,1.474e+6,3.785e+5,1.096e+6
215.92,3.218e+6,1.405e+6,1.812e+6
215.97,7.384e+6,4.691e+6,2.693e+6
216.02,1.767e+7,1.407e+7,3.595e+6
216.07,4.226e+7,3.795e+7,4.313e+6
216.12,9.662e+7,9.197e+7,4.648e+6
216.17,2.049e+8,2.004e+8,4.502e+6
