Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
200.11,7.370e-14,,7.370e-14
200.16,1.306e-12,,1.306e-12
200.21,2.047e-11,,2.047e-11
200.26,2.835e-10,,2.835e-10
200.31,3.471e-9,,3.471e-9
200.36,3.756e-8,,3.756e-8
200.41,3.592e-7,,3.592e-7
200.46,3.037e-6,,3.037e-6
200.51,2.270e-5,,2.270e-5
200.56,1.500e-4,,1.500e-4
200.61,8.758e-4,,8.758e-4
200.66,4.522e-3,,4.522e-3
200.72,2.756e-2,,2.756e-2
200.77,1.086e-1,,1.086e-1
200.82,3.789e-1,,3.789e-1
200.87,1.172e+0,,1.172e+0
200.92,3.219e+0,,3.219e+0
200.97,7.893e+0,,7.893e+0
201.02,1.741e+1,,1.741e+1
201.07,3.500e+1,,3.500e+1
201.12,6.538e+1,,6.538e+1
201.17,1.162e+2,,1.162e+2
201.22,2.006e+2,2.800e-12,2.006e+2
201.27,3.384e+2,5.047e-11,3.384e+2
201.32,5.513e+2,8.052e-10,5.513e+2
201.37,8.478e+2,1.137e-8,8.478e+2
201.42,1.203e+3,1.421e-7,1.203e+3
201.47,1.547e+3,1.572e-6,1.547e+3
201.52,1.786e+3,1.540e-5,1.786e+3
201.57,1.836e+3,1.335e-4,1.836e+3
201.62,1.677e+3,1.024e-3,1.677e+3
201.67,1.357e+3,6.954e-3,1.357e+3
201.72,9.720e+2,4.180e-2,9.720e+2
201.77,6.162e+2,2.224e-1,6.160e+2
201.82,3.464e+2,1.047e+0,3.453e+2
201.87,1.757e+2,4.366e+0,1.713e+2
201.92,9.179e+1,1.611e+1,7.568e+1
201.97,8.448e+1,5.261e+1,3.187e+1
202.02,1.728e+2,1.521e+2,2.074e+1
202.07,4.291e+2,3.891e+2,3.991e+1
202.12,9.940e+2,8.813e+2,1.126e+2
202.17,2.067e+3,1.767e+3,3.003e+2
202.22,3.848e+3,3.135e+3,7.131e+2
202.27,6.423e+3,4.924e+3,1.500e+3
202.32,9.637e+3,6.845e+3,2.792e+3
202.37,1.303e+4,8.423e+3,4.603e+3
202.42,1.589e+4,9.174e+3,6.717e+3
202.47,1.752e+4,8.844e+3,8.677e+3
202.52,1.747e+4,7.547e+3,9.925e+3
202.57,1.575e+4,5.700e+3,1.005e+4
202.62,1.282e+4,3.811e+3,9.013e+3
202.67,9.414e+3,2.255e+3,7.159e+3
202.72,6.220e+3,1.181e+3,5.039e+3
202.77,3.698e+3,5.476e+2,3.150e+3
202.82,1.985e+3,2.247e+2,1.761e+3
202.87,9.813e+2,8.163e+1,8.997e+2
202.92,4.772e+2,2.624e+1,4.510e+2
202.97,2.682e+2,7.469e+0,2.607e+2
203.02,2.088e+2,1.881e+0,2.069e+2
203.07,2.282e+2,4.195e-1,2.278e+2
203.12,3.372e+2,8.278e-2,3.371e+2
203.17,6.569e+2,1.446e-2,6.569e+2
203.22,1.473e+3,2.236e-3,1.473e+3
203.27,3.290e+3,3.060e-4,3.290e+3
203.32,6.817e+3,3.707e-5,6.817e+3
203.37,1.279e+4,3.975e-6,1.279e+4
203.42,2.159e+4,3.772e-7,2.159e+4
203.47,3.279e+4,3.169e-8,3.279e+4
203.52,4.488e+4,2.356e-9,4.488e+4
203.57,5.546e+4,1.551e-10,5.546e+4
203.62,6.197e+4,9.035e-12,6.197e+4
203.67,6.266e+4,4.659e-13,6.266e+4
203.72,5.735e+4,,5.735e+4
203.77,4.746e+4,,4.746e+4
203.82,3.549e+4,,3.549e+4
203.87,2.397e+4,,2.397e+4
203.92,1.473e+4,,1.473e+4
203.97,8.611e+3,,8.611e+3
204.02,5.716e+3,,5.716e+3
204.07,5.886e+3,,5.886e+3
204.12,9.005e+3,,9.005e+3
204.17,1.490e+4,,1.490e+4
204.22,2.292e+4,,2.292e+4
204.27,3.159e+4,,3.159e+4
204.32,3.870e+4,,3.870e+4
204.37,4.208e+4,,4.208e+4
204.42,4.060e+4,,4.060e+4
204.47,3.475e+4,,3.475e+4
204.52,2.639e+4,,2.639e+4
204.57,1.778e+4,,1.778e+4
204.62,1.063e+4,,1.063e+4
204.67,5.644e+3,,5.644e+3
204.72,2.663e+3,,2.663e+3
204.77,1.119e+3,,1.119e+3
204.82,4.226e+2,,4.226e+2
204.87,1.477e+2,,1.477e+2
204.92,5.811e+1,,5.811e+1
204.97,5.661e+1,,5.661e+1
205.02,1.418e+2,,1.418e+2
