Wavelength (nm),Sum,Fe I (1.5e-01),Fe II (8.5e-01),Fe III (1.1e-04)
200.1,2.124e+7,,2.124e+7,2.190e+1
200.2,2.131e+7,,2.131e+7,2.492e+1
200.4,2.080e+7,,2.080e+7,2.949e+1
200.6,2.060e+7,,2.060e+7,3.104e+1
200.8,2.167e+7,,2.167e+7,2.921e+1
201,2.402e+7,,2.402e+7,2.478e+1
201.1,2.546e+7,,2.546e+7,2.204e+1
201.3,2.829e+7,,2.829e+7,1.644e+1
201.5,3.035e+7,,3.035e+7,1.162e+1
201.7,3.091e+7,,3.091e+7,8.136e+0
201.9,2.954e+7,,2.954e+7,5.998e+0
202,2.812e+7,,2.812e+7,5.355e+0
202.2,2.426e+7,,2.426e+7,4.703e+0
202.4,2.009e+7,,2.009e+7,4.641e+0
202.6,1.708e+7,,1.708e+7,4.995e+0
202.7,1.634e+7,,1.634e+7,5.328e+0
202.9,1.651e+7,,1.651e+7,6.379e+0
203.1,1.846e+7,,1.846e+7,8.034e+0
203.3,2.130e+7,,2.130e+7,1.022e+1
203.5,2.418e+7,,2.418e+7,1.256e+1
203.6,2.541e+7,,2.541e+7,1.364e+1
203.8,2.709e+7,,2.709e+7,1.531e+1
204,2.733e+7,,2.733e+7,1.612e+1
204.2,2.608e+7,,2.608e+7,1.623e+1
204.4,2.392e+7,,2.392e+7,1.654e+1
204.5,2.280e+7,,2.280e+7,1.741e+1
204.7,2.101e+7,,2.101e+7,2.321e+1
204.9,2.003e+7,,2.003e+7,4.081e+1
205.1,1.939e+7,,1.939e+7,8.220e+1
205.2,1.898e+7,,1.898e+7,1.167e+2
205.4,1.773e+7,,1.773e+7,2.229e+2
205.6,1.611e+7,,1.611e+7,3.860e+2
205.8,1.476e+7,,1.476e+7,6.012e+2
206,1.429e+7,,1.429e+7,8.445e+2
206.1,1.441e+7,,1.441e+7,9.647e+2
206.3,1.503e+7,,1.502e+7,1.175e+3
206.5,1.542e+7,,1.542e+7,1.313e+3
206.7,1.486e+7,,1.486e+7,1.364e+3
206.9,1.320e+7,,1.320e+7,1.346e+3
207,1.209e+7,,1.209e+7,1.327e+3
207.2,9.814e+6,,9.813e+6,1.305e+3
207.4,8.085e+6,,8.084e+6,1.334e+3
207.6,7.339e+6,,7.337e+6,1.397e+3
207.7,7.346e+6,,7.345e+6,1.421e+3
207.9,7.960e+6,,7.958e+6,1.405e+3
208.1,9.060e+6,,9.059e+6,1.265e+3
208.3,1.027e+7,,1.027e+7,1.017e+3
208.5,1.119e+7,2.014e-10,1.119e+7,7.257e+2
208.6,1.143e+7,1.002e-9,1.143e+7,5.886e+2
208.8,1.125e+7,2.234e-8,1.125e+7,3.635e+2
209,1.011e+7,4.340e-7,1.011e+7,2.174e+2
209.2,8.235e+6,7.344e-6,8.234e+6,1.388e+2
209.4,6.101e+6,1.083e-4,6.101e+6,1.024e+2
209.5,5.113e+6,3.947e-4,5.113e+6,9.278e+1
209.7,3.581e+6,4.731e-3,3.581e+6,8.013e+1
209.9,2.868e+6,4.939e-2,2.868e+6,6.915e+1
210.1,3.061e+6,4.492e-1,3.061e+6,5.695e+1
210.2,3.472e+6,1.286e+0,3.472e+6,5.062e+1
210.4,4.767e+6,9.512e+0,4.767e+6,3.868e+1
210.6,6.358e+6,6.127e+1,6.357e+6,2.881e+1
210.8,7.753e+6,3.438e+2,7.753e+6,2.132e+1
211,8.521e+6,1.681e+3,8.520e+6,1.573e+1
211.1,8.595e+6,3.528e+3,8.592e+6,1.348e+1
