Wavelength (nm),Sum,K I (3.1e-02),K II (9.7e-01),K III (2.7e-11)
202.22,1.006e-17,,1.006e-17,
202.27,1.939e-16,,1.939e-16,
202.32,4.495e-15,,4.495e-15,
202.37,7.131e-14,,7.131e-14,
202.42,1.009e-12,,1.009e-12,
202.47,1.272e-11,,1.272e-11,
202.52,1.431e-10,,1.431e-10,
202.57,1.437e-9,,1.437e-9,
202.62,1.287e-8,,1.287e-8,
202.67,1.029e-7,,1.029e-7,
202.72,7.344e-7,,7.344e-7,
202.77,4.678e-6,,4.678e-6,
202.82,2.658e-5,,2.658e-5,
202.87,1.347e-4,,1.347e-4,
202.92,6.090e-4,,6.090e-4,
202.97,2.454e-3,,2.454e-3,
203.02,8.814e-3,,8.814e-3,
203.07,2.820e-2,,2.820e-2,
203.12,8.039e-2,,8.039e-2,
203.17,2.041e-1,,2.041e-1,
203.22,4.617e-1,,4.617e-1,
203.27,9.307e-1,,9.307e-1,
203.32,1.673e+0,,1.673e+0,
203.37,2.687e+0,,2.687e+0,
203.42,3.862e+0,,3.862e+0,
203.47,4.981e+0,,4.981e+0,
203.52,5.786e+0,,5.786e+0,
203.57,6.084e+0,,6.084e+0,
203.62,5.819e+0,,5.819e+0,
203.67,5.092e+0,,5.092e+0,
203.72,4.092e+0,,4.092e+0,
203.77,3.028e+0,,3.028e+0,
203.82,2.062e+0,,2.062e+0,
203.87,1.289e+0,,1.289e+0,
203.92,7.372e-1,,7.372e-1,
203.97,3.872e-1,,3.872e-1,
204.02,1.990e-1,,1.990e-1,
204.07,1.396e-1,,1.396e-1,
204.12,2.088e-1,,2.088e-1,
204.17,4.591e-1,,4.591e-1,
204.22,9.975e-1,,9.975e-1,
204.27,1.955e+0,,1.955e+0,
204.32,3.409e+0,,3.409e+0,
204.37,5.281e+0,,5.281e+0,
204.42,7.264e+0,,7.264e+0,
204.47,8.870e+0,,8.870e+0,
204.52,9.615e+0,,9.615e+0,
204.57,9.253e+0,,9.253e+0,
204.62,7.904e+0,,7.904e+0,
204.67,5.993e+0,,5.993e+0,
204.72,4.034e+0,,4.034e+0,
204.77,2.410e+0,,2.410e+0,
204.82,1.278e+0,,1.278e+0,
204.87,6.013e-1,,6.013e-1,
204.92,2.511e-1,,2.511e-1,
204.97,9.309e-2,,9.309e-2,
205.02,3.063e-2,,3.063e-2,
205.07,8.941e-3,,8.941e-3,
205.12,2.317e-3,,2.317e-3,
205.17,5.327e-4,,5.327e-4,
205.22,1.087e-4,,1.087e-4,
205.27,1.969e-5,,1.969e-5,
205.32,3.164e-6,,3.164e-6,
205.37,4.512e-7,,4.512e-7,
205.42,5.710e-8,,5.710e-8,
205.47,6.413e-9,,6.413e-9,
205.52,6.391e-10,,6.391e-10,
205.57,5.652e-11,,5.652e-11,
205.62,4.436e-12,,4.436e-12,
205.67,3.089e-13,,3.089e-13,
