Wavelength (nm),Sum,Li I (4.0e-02),Li II (9.6e-01),Li III (5.9e-34)
206.92,6.867e-94,,,6.867e-94
206.97,2.099e-92,,,2.099e-92
207.02,3.452e-91,,,3.452e-91
207.07,5.071e-90,,,5.071e-90
207.12,6.652e-89,,,6.652e-89
207.17,7.793e-88,,,7.793e-88
207.22,8.153e-87,,,8.153e-87
207.27,7.617e-86,,,7.617e-86
207.32,6.356e-85,,,6.356e-85
207.37,4.736e-84,,,4.736e-84
207.42,3.152e-83,,,3.152e-83
207.47,1.873e-82,,,1.873e-82
207.52,9.940e-82,,,9.940e-82
207.57,4.711e-81,,,4.711e-81
207.62,1.993e-80,,,1.993e-80
207.67,7.531e-80,,,7.531e-80
207.72,2.540e-79,,,2.540e-79
207.77,7.650e-79,,,7.650e-79
207.82,2.056e-78,,,2.056e-78
207.87,4.935e-78,,,4.935e-78
207.92,1.057e-77,,,1.057e-77
207.97,2.021e-77,,,2.021e-77
208.02,3.447e-77,,,3.447e-77
208.07,5.248e-77,,,5.248e-77
208.12,7.130e-77,,,7.130e-77
208.17,8.642e-77,,,8.642e-77
208.22,9.346e-77,,,9.346e-77
208.27,9.017e-77,,,9.017e-77
208.32,7.761e-77,,,7.761e-77
208.37,5.958e-77,,,5.958e-77
208.42,4.080e-77,,,4.080e-77
208.47,2.492e-77,,,2.492e-77
208.52,1.358e-77,,,1.358e-77
208.57,6.595e-78,,,6.595e-78
208.62,2.857e-78,,,2.857e-78
208.67,1.104e-78,,,1.104e-78
208.72,3.802e-79,,,3.802e-79
208.77,1.168e-79,,,1.168e-79
208.82,3.199e-80,,,3.199e-80
208.87,7.810e-81,,,7.810e-81
208.92,1.700e-81,,,1.700e-81
208.97,3.300e-82,,,3.300e-82
209.02,5.711e-83,,,5.711e-83
209.07,8.809e-84,,,8.809e-84
209.12,1.211e-84,,,1.211e-84
209.17,1.485e-85,,,1.485e-85
209.22,1.623e-86,,,1.623e-86
209.27,1.581e-87,,,1.581e-87
209.32,1.373e-88,,,1.373e-88
209.37,1.063e-89,,,1.063e-89
209.42,7.332e-91,,,7.332e-91
209.47,4.509e-92,,,4.509e-92
209.52,7.269e-95,,,7.269e-95
231.58,7.411e-41,,7.411e-41,
231.63,9.333e-40,,9.333e-40,
231.68,1.072e-38,,1.072e-38,
231.73,1.123e-37,,1.123e-37,
231.78,1.072e-36,,1.072e-36,
231.83,9.343e-36,,9.343e-36,
231.88,7.423e-35,,7.423e-35,
231.93,5.379e-34,,5.379e-34,
231.98,3.555e-33,,3.555e-33,
232.03,2.142e-32,,2.142e-32,
232.08,1.178e-31,,1.178e-31,
232.13,5.903e-31,,5.903e-31,
232.18,2.699e-30,,2.699e-30,
232.23,1.125e-29,,1.125e-29,
232.28,4.278e-29,,4.278e-29,
232.33,1.484e-28,,1.484e-28,
232.38,4.693e-28,,4.693e-28,
232.43,1.354e-27,,1.354e-27,
232.48,3.561e-27,,3.561e-27,
232.53,8.542e-27,,8.542e-27,
232.58,1.869e-26,,1.869e-26,
232.63,3.729e-26,,3.729e-26,
232.68,6.787e-26,,6.787e-26,
232.73,1.126e-25,,1.126e-25,
232.78,1.705e-25,,1.705e-25,
232.83,2.354e-25,,2.354e-25,
232.88,2.963e-25,,2.963e-25,
232.93,3.402e-25,,3.402e-25,
232.98,3.563e-25,,3.563e-25,
233.03,3.402e-25,,3.402e-25,
233.08,2.963e-25,,2.963e-25,
233.13,2.354e-25,,2.354e-25,
233.18,1.705e-25,,1.705e-25,
233.23,1.126e-25,,1.126e-25,
233.28,6.787e-26,,6.787e-26,
233.33,3.729e-26,,3.729e-26,
233.38,1.869e-26,,1.869e-26,
233.43,8.542e-27,,8.542e-27,
233.48,3.561e-27,,3.561e-27,
233.53,1.354e-27,,1.354e-27,
233.58,4.693e-28,,4.693e-28,
233.63,1.484e-28,,1.484e-28,
233.68,4.278e-29,,4.278e-29,
233.73,1.125e-29,,1.125e-29,
233.78,2.699e-30,,2.699e-30,
233.83,5.903e-31,,5.903e-31,
233.88,1.178e-31,,1.178e-31,
233.93,2.142e-32,,2.142e-32,
233.98,3.555e-33,,3.555e-33,
234.03,5.379e-34,,5.379e-34,
234.08,7.423e-35,,7.423e-35,
234.13,9.343e-36,,9.343e-36,
234.18,1.072e-36,,1.072e-36,
234.23,1.123e-37,,1.123e-37,
234.28,1.072e-38,,1.072e-38,
234.33,9.333e-40,,9.333e-40,
234.38,7.752e-41,,7.752e-41,
234.43,4.338e-41,,4.338e-41,
234.48,5.050e-40,,5.050e-40,
234.53,5.373e-39,,5.373e-39,
234.58,5.226e-38,,5.226e-38,
234.63,4.645e-37,,4.645e-37,
234.68,3.774e-36,,3.774e-36,
234.73,2.803e-35,,2.803e-35,
234.78,1.902e-34,,1.902e-34,
234.83,1.180e-33,,1.180e-33,
234.88,6.692e-33,,6.692e-33,
234.93,3.468e-32,,3.468e-32,
234.98,1.643e-31,,1.643e-31,
235.03,7.114e-31,,7.114e-31,
235.08,2.815e-30,,2.815e-30,
235.13,1.018e-29,,1.018e-29,
235.18,3.367e-29,,3.367e-29,
235.23,1.017e-28,,1.017e-28,
235.28,2.810e-28,,2.810e-28,
235.33,7.095e-28,,7.095e-28,
235.38,1.637e-27,,1.637e-27,
235.43,3.453e-27,,3.453e-27,
235.48,6.656e-27,,6.656e-27,
235.53,1.173e-26,,1.173e-26,
235.58,1.889e-26,,1.889e-26,
235.63,2.780e-26,,2.780e-26,
235.68,3.741e-26,,3.741e-26,
235.73,4.600e-26,,4.600e-26,
235.78,5.170e-26,,5.170e-26,
235.83,5.312e-26,,5.312e-26,
235.88,4.988e-26,,4.988e-26,
235.93,4.281e-26,,4.281e-26,
235.98,3.358e-26,,3.358e-26,
236.03,2.408e-26,,2.408e-26,
236.08,1.578e-26,,1.578e-26,
236.13,9.452e-27,,9.452e-27,
236.18,5.175e-27,,5.175e-27,
236.23,2.590e-27,,2.590e-27,
236.28,1.184e-27,,1.184e-27,
236.33,4.952e-28,,4.952e-28,
236.38,1.892e-28,,1.892e-28,
236.43,6.609e-29,,6.609e-29,
236.48,2.110e-29,,2.110e-29,
236.53,6.155e-30,,6.155e-30,
236.58,1.642e-30,,1.642e-30,
236.63,4.001e-31,,4.001e-31,
236.68,8.915e-32,,8.915e-32,
236.73,1.815e-32,,1.815e-32,
236.78,3.379e-33,,3.379e-33,
236.83,5.748e-34,,5.748e-34,
236.88,8.939e-35,,8.939e-35,
236.93,1.270e-35,,1.270e-35,
236.98,1.650e-36,,1.650e-36,
237.03,1.959e-37,,1.959e-37,
237.08,2.126e-38,,2.126e-38,
237.13,2.109e-39,,2.109e-39,
237.18,1.912e-40,,1.912e-40,
237.23,1.585e-41,,1.585e-41,
238.78,8.864e-41,,8.864e-41,
238.83,1.049e-39,,1.049e-39,
238.88,1.139e-38,,1.139e-38,
238.93,1.134e-37,,1.134e-37,
238.98,1.036e-36,,1.036e-36,
239.03,8.672e-36,,8.672e-36,
239.08,6.659e-35,,6.659e-35,
239.13,4.689e-34,,4.689e-34,
239.18,3.028e-33,,3.028e-33,
239.23,1.793e-32,,1.793e-32,
239.28,9.735e-32,,9.735e-32,
239.33,4.848e-31,,4.848e-31,
239.38,2.214e-30,,2.214e-30,
239.43,9.271e-30,,9.271e-30,
239.48,3.561e-29,,3.561e-29,
239.53,1.254e-28,,1.254e-28,
239.58,4.050e-28,,4.050e-28,
239.63,1.200e-27,,1.200e-27,
239.68,3.258e-27,,3.258e-27,
239.73,8.116e-27,,8.116e-27,
239.78,1.854e-26,,1.854e-26,
239.83,3.883e-26,,3.883e-26,
239.88,7.459e-26,,7.459e-26,
239.93,1.314e-25,,1.314e-25,
239.98,2.123e-25,,2.123e-25,
240.03,3.145e-25,,3.145e-25,
240.08,4.273e-25,,4.273e-25,
240.13,5.323e-25,,5.323e-25,
240.18,6.082e-25,,6.082e-25,
240.23,6.373e-25,,6.373e-25,
240.28,6.123e-25,,6.123e-25,
240.33,5.396e-25,,5.396e-25,
240.38,4.360e-25,,4.360e-25,
240.43,3.231e-25,,3.231e-25,
240.48,2.196e-25,,2.196e-25,
240.53,1.369e-25,,1.369e-25,
240.58,7.821e-26,,7.821e-26,
240.63,4.099e-26,,4.099e-26,
240.68,1.970e-26,,1.970e-26,
240.73,8.685e-27,,8.685e-27,
240.78,3.511e-27,,3.511e-27,
240.83,1.301e-27,,1.301e-27,
240.88,4.424e-28,,4.424e-28,
240.93,1.379e-28,,1.379e-28,
240.98,3.943e-29,,3.943e-29,
241.03,1.034e-29,,1.034e-29,
241.08,2.486e-30,,2.486e-30,
241.13,5.482e-31,,5.482e-31,
