Wavelength (nm),Sum(calc),Li I (4.0e-2),Li II (9.6e-1),Li III (5.9e-34)
208.004,2.830e-117,,,2.830e-117
208.01,4.900e-115,,,4.900e-115
208.015,3.166e-113,,,3.166e-113
208.02,1.823e-111,,,1.823e-111
208.025,9.357e-110,,,9.357e-110
208.03,4.280e-108,,,4.280e-108
208.035,1.745e-106,,,1.745e-106
208.04,6.338e-105,,,6.338e-105
208.046,4.058e-103,,,4.058e-103
208.051,1.144e-101,,,1.144e-101
208.056,2.876e-100,,,2.876e-100
208.061,6.442e-99,,,6.442e-99
208.066,1.286e-97,,,1.286e-97
208.071,2.288e-96,,,2.288e-96
208.077,6.222e-95,,,6.222e-95
208.082,8.594e-94,,,8.594e-94
208.087,1.058e-92,,,1.058e-92
208.092,1.161e-91,,,1.161e-91
208.097,1.136e-90,,,1.136e-90
208.102,9.903e-90,,,9.903e-90
208.108,1.144e-88,,,1.144e-88
208.113,7.744e-88,,,7.744e-88
208.118,4.673e-87,,,4.673e-87
208.123,2.513e-86,,,2.513e-86
208.128,1.205e-85,,,1.205e-85
208.133,5.152e-85,,,5.152e-85
208.139,2.531e-84,,,2.531e-84
208.144,8.406e-84,,,8.406e-84
208.149,2.490e-83,,,2.490e-83
208.154,6.580e-83,,,6.580e-83
208.159,1.552e-82,,,1.552e-82
208.164,3.272e-82,,,3.272e-82
208.169,6.175e-82,,,6.175e-82
208.175,1.150e-81,,,1.150e-81
208.18,1.731e-81,,,1.731e-81
208.185,2.396e-81,,,2.396e-81
208.19,3.121e-81,,,3.121e-81
208.195,3.956e-81,,,3.956e-81
208.2,5.047e-81,,,5.047e-81
208.206,6.956e-81,,,6.956e-81
208.211,9.135e-81,,,9.135e-81
208.216,1.165e-80,,,1.165e-80
208.221,1.401e-80,,,1.401e-80
208.226,1.560e-80,,,1.560e-80
208.231,1.589e-80,,,1.589e-80
208.237,1.435e-80,,,1.435e-80
208.242,1.184e-80,,,1.184e-80
208.247,8.852e-81,,,8.852e-81
208.252,5.984e-81,,,5.984e-81
208.257,3.656e-81,,,3.656e-81
208.262,2.017e-81,,,2.017e-81
208.268,8.632e-82,,,8.632e-82
208.273,3.800e-82,,,3.800e-82
208.278,1.509e-82,,,1.509e-82
208.283,5.406e-83,,,5.406e-83
208.288,1.749e-83,,,1.749e-83
208.293,5.107e-84,,,5.107e-84
208.298,1.348e-84,,,1.348e-84
208.304,2.387e-85,,,2.387e-85
208.309,5.052e-86,,,5.052e-86
208.314,9.676e-87,,,9.676e-87
208.319,1.677e-87,,,1.677e-87
208.324,2.630e-88,,,2.630e-88
208.329,3.728e-89,,,3.728e-89
208.335,3.124e-90,,,3.124e-90
208.34,3.534e-91,,,3.534e-91
208.345,3.599e-92,,,3.599e-92
208.35,3.298e-93,,,3.298e-93
208.355,2.714e-94,,,2.714e-94
208.36,2.004e-95,,,2.004e-95
208.366,7.602e-97,,,7.602e-97
208.371,4.405e-98,,,4.405e-98
208.376,2.283e-99,,,2.283e-99
208.381,1.058e-100,,,1.058e-100
208.386,4.380e-102,,,4.380e-102
208.391,1.619e-103,,,1.619e-103
208.397,2.664e-105,,,2.664e-105
208.402,7.669e-107,,,7.669e-107
208.407,1.969e-108,,,1.969e-108
208.412,4.511e-110,,,4.511e-110
208.417,9.214e-112,,,9.214e-112
208.422,1.678e-113,,,1.678e-113
208.428,1.175e-115,,,1.175e-115
208.433,1.661e-117,,,1.661e-117
232.775,1.232e-62,,1.232e-62,1.070e-114
232.78,5.297e-61,,5.297e-61,1.070e-114
232.785,2.019e-59,,2.019e-59,1.070e-114
232.79,7.022e-58,,7.022e-58,1.070e-114
232.795,2.227e-56,,2.227e-56,1.071e-114
232.801,1.249e-54,,1.249e-54,1.071e-114
232.806,3.237e-53,,3.237e-53,1.071e-114
232.811,7.652e-52,,7.652e-52,1.071e-114
232.816,1.650e-50,,1.650e-50,1.072e-114
232.821,3.246e-49,,3.246e-49,1.072e-114
232.826,5.824e-48,,5.824e-48,1.072e-114
232.832,1.649e-46,,1.649e-46,1.072e-114
232.837,2.418e-45,,2.418e-45,1.073e-114
232.842,3.235e-44,,3.235e-44,1.073e-114
232.847,3.947e-43,,3.947e-43,1.073e-114
232.852,4.395e-42,,4.395e-42,1.073e-114
232.857,4.465e-41,,4.465e-41,1.073e-114
232.862,4.138e-40,,4.138e-40,1.074e-114
232.868,5.304e-39,,5.304e-39,1.074e-114
232.873,4.019e-38,,4.019e-38,1.074e-114
232.878,2.778e-37,,2.778e-37,1.074e-114
232.883,1.752e-36,,1.752e-36,1.075e-114
232.888,1.009e-35,,1.009e-35,1.075e-114
232.893,5.299e-35,,5.299e-35,1.075e-114
232.899,3.437e-34,,3.437e-34,1.075e-114
232.904,1.477e-33,,1.477e-33,1.075e-114
232.909,5.789e-33,,5.789e-33,1.076e-114
232.914,2.072e-32,,2.072e-32,1.076e-114
232.919,6.766e-32,,6.766e-32,1.076e-114
232.924,2.017e-31,,2.017e-31,1.076e-114
232.93,6.632e-31,,6.632e-31,1.077e-114
