Wavelength (nm),Sum,Mg I (1.1e-01),Mg II (8.9e-01),Mg III (5.4e-04)
200.11,3.519e-22,,,3.519e-22
200.16,8.510e-22,,,8.510e-22
200.21,1.818e-21,,,1.818e-21
200.26,3.428e-21,,,3.428e-21
200.31,5.708e-21,,,5.708e-21
200.36,8.394e-21,,,8.394e-21
200.41,1.090e-20,,,1.090e-20
200.46,1.250e-20,,,1.250e-20
200.51,1.265e-20,,,1.265e-20
200.56,1.131e-20,,,1.131e-20
200.61,8.933e-21,,,8.933e-21
200.66,6.227e-21,,,6.227e-21
200.72,3.428e-21,,,3.428e-21
200.77,1.818e-21,,,1.818e-21
200.82,8.510e-22,,,8.510e-22
200.87,3.519e-22,,,3.519e-22
200.92,1.285e-22,,,1.285e-22
200.97,4.141e-23,,,4.141e-23
201.02,1.179e-23,,,1.179e-23
201.07,2.964e-24,,,2.964e-24
201.12,6.579e-25,,,6.579e-25
201.17,1.290e-25,,,1.290e-25
201.22,2.232e-26,,,2.232e-26
201.27,3.412e-27,,,3.412e-27
201.32,4.604e-28,,,4.604e-28
201.37,4.350e-7,4.350e-7,,5.487e-29
201.42,7.806e-6,7.806e-6,,5.775e-30
201.47,1.240e-4,1.240e-4,,5.366e-31
201.52,1.745e-3,1.745e-3,,4.403e-32
201.57,2.173e-2,2.173e-2,,3.191e-33
201.62,2.395e-1,2.395e-1,,2.042e-34
201.67,2.338e+0,2.338e+0,,1.153e-35
201.72,2.020e+1,2.020e+1,,
201.77,1.545e+2,1.545e+2,,
201.82,1.046e+3,1.046e+3,,
201.87,6.273e+3,6.273e+3,,
201.92,3.329e+4,3.329e+4,,
201.97,1.564e+5,1.564e+5,,
202.02,6.507e+5,6.507e+5,,
202.07,2.396e+6,2.396e+6,,
202.12,7.813e+6,7.813e+6,,
202.17,2.255e+7,2.255e+7,,
202.22,5.762e+7,5.762e+7,,
202.27,1.303e+8,1.303e+8,,
202.32,2.610e+8,2.610e+8,,
202.37,4.627e+8,4.627e+8,,
202.42,7.263e+8,7.263e+8,,
202.47,1.009e+9,1.009e+9,,
202.52,1.241e+9,1.241e+9,,
202.57,1.352e+9,1.352e+9,,
202.62,1.303e+9,1.303e+9,,
202.67,1.113e+9,1.113e+9,,
202.72,8.406e+8,8.406e+8,,1.724e-35
202.77,5.623e+8,5.623e+8,,3.123e-34
202.82,3.330e+8,3.330e+8,,5.016e-33
202.87,1.746e+8,1.746e+8,,7.146e-32
202.92,8.104e+7,8.104e+7,,9.026e-31
202.97,3.330e+7,3.330e+7,,1.011e-29
203.02,1.211e+7,1.211e+7,,1.004e-28
203.07,3.901e+6,3.901e+6,,8.844e-28
203.12,1.112e+6,1.112e+6,,6.907e-27
203.17,2.807e+5,2.807e+5,,4.784e-26
203.22,6.273e+4,6.273e+4,,2.938e-25
203.27,1.241e+4,1.241e+4,,1.600e-24
203.32,2.173e+3,2.173e+3,,7.725e-24
203.37,3.370e+2,3.370e+2,,3.308e-23
203.42,4.625e+1,4.625e+1,,1.256e-22
203.47,5.620e+0,5.620e+0,,4.229e-22
203.52,6.046e-1,6.046e-1,,1.263e-21
203.57,5.758e-2,5.758e-2,,3.343e-21
203.62,4.855e-3,4.855e-3,,7.847e-21
203.67,3.624e-4,3.624e-4,,1.634e-20
203.72,2.395e-5,2.395e-5,,3.016e-20
203.77,1.401e-6,1.401e-6,,4.936e-20
203.82,7.255e-8,7.255e-8,,7.165e-20
