Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
200.11,3.742e-34,,,3.742e-34
200.16,9.726e-34,,,9.726e-34
200.21,2.234e-33,,,2.234e-33
200.26,4.532e-33,,,4.532e-33
200.31,8.122e-33,,,8.122e-33
200.36,1.286e-32,,,1.286e-32
200.41,1.798e-32,,,1.798e-32
200.46,2.220e-32,,,2.220e-32
200.51,2.422e-32,,,2.422e-32
200.56,2.333e-32,,,2.333e-32
200.61,1.985e-32,,,1.985e-32
200.66,1.493e-32,,,1.493e-32
200.72,9.012e-33,,,9.012e-33
200.77,5.182e-33,,,5.182e-33
200.82,2.657e-33,,,2.657e-33
200.87,1.241e-33,,,1.241e-33
200.92,5.682e-34,,,5.682e-34
200.97,3.142e-34,,,3.142e-34
201.02,2.648e-34,,,2.648e-34
201.07,3.000e-34,,,3.000e-34
201.12,3.536e-34,,,3.536e-34
201.17,3.866e-34,,,3.866e-34
201.22,3.792e-34,,,3.792e-34
201.27,3.306e-34,,,3.306e-34
201.32,2.556e-34,,,2.556e-34
201.37,1.753e-34,,,1.753e-34
201.42,1.070e-34,,,1.070e-34
201.47,5.868e-35,,,5.868e-35
201.52,2.961e-35,,,2.961e-35
201.57,1.465e-35,,,1.465e-35
201.62,8.051e-36,,,8.051e-36
201.67,5.498e-36,,,5.498e-36
201.72,4.529e-36,,,4.529e-36
201.77,4.119e-36,,,4.119e-36
201.82,4.182e-36,,,4.182e-36
201.87,5.175e-36,,,5.175e-36
201.92,7.793e-36,,,7.793e-36
201.97,1.268e-35,,,1.268e-35
202.02,2.010e-35,,,2.010e-35
202.07,2.957e-35,,,2.957e-35
202.12,3.964e-35,,,3.964e-35
202.17,4.816e-35,,,4.816e-35
202.22,5.287e-35,,,5.287e-35
202.27,5.241e-35,,,5.241e-35
202.32,4.692e-35,,,4.692e-35
202.37,3.818e-35,,,3.818e-35
202.42,2.900e-35,,,2.900e-35
202.47,2.258e-35,,,2.258e-35
202.52,2.219e-35,,,2.219e-35
202.57,3.092e-35,,,3.092e-35
202.62,5.124e-35,,,5.124e-35
202.67,8.370e-35,,,8.370e-35
202.72,1.253e-34,,,1.253e-34
202.77,1.688e-34,,,1.688e-34
202.82,2.052e-34,,,2.052e-34
202.87,2.272e-34,,,2.272e-34
202.92,2.331e-34,,,2.331e-34
202.97,2.261e-34,,,2.261e-34
203.02,2.110e-34,,,2.110e-34
203.07,1.911e-34,,,1.911e-34
203.12,1.667e-34,,,1.667e-34
203.17,1.380e-34,,,1.380e-34
203.22,1.070e-34,,,1.070e-34
203.27,7.841e-35,,,7.841e-35
203.32,5.737e-35,,,5.737e-35
203.37,4.723e-35,,,4.723e-35
203.42,4.814e-35,,,4.814e-35
203.47,5.713e-35,,,5.713e-35
203.52,6.933e-35,,,6.933e-35
203.57,7.971e-35,,,7.971e-35
203.62,8.468e-35,,,8.468e-35
203.67,8.308e-35,,,8.308e-35
203.72,7.600e-35,,,7.600e-35
203.77,6.609e-35,,,6.609e-35
203.82,5.691e-35,,,5.691e-35
