Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
200.11,7.505e-39,,,7.505e-39
200.16,1.951e-38,,,1.951e-38
200.21,4.481e-38,,,4.481e-38
200.26,9.091e-38,,,9.091e-38
200.31,1.629e-37,,,1.629e-37
200.36,2.579e-37,,,2.579e-37
200.41,3.606e-37,,,3.606e-37
200.46,4.454e-37,,,4.454e-37
200.51,4.858e-37,,,4.858e-37
200.56,4.680e-37,,,4.680e-37
200.61,3.982e-37,,,3.982e-37
200.66,2.994e-37,,,2.994e-37
200.72,1.808e-37,,,1.808e-37
200.77,1.039e-37,,,1.039e-37
200.82,5.330e-38,,,5.330e-38
200.87,2.489e-38,,,2.489e-38
200.92,1.140e-38,,,1.140e-38
200.97,6.312e-39,,,6.312e-39
201.02,5.325e-39,,,5.325e-39
201.07,6.036e-39,,,6.036e-39
201.12,7.116e-39,,,7.116e-39
201.17,7.780e-39,,,7.780e-39
201.22,7.631e-39,,,7.631e-39
201.27,6.653e-39,,,6.653e-39
201.32,5.143e-39,,,5.143e-39
201.37,3.528e-39,,,3.528e-39
201.42,2.154e-39,,,2.154e-39
201.47,1.181e-39,,,1.181e-39
201.52,5.960e-40,,,5.960e-40
201.57,2.950e-40,,,2.950e-40
201.62,1.622e-40,,,1.622e-40
201.67,1.109e-40,,,1.109e-40
201.72,9.136e-41,,,9.136e-41
201.77,8.312e-41,,,8.312e-41
201.82,8.445e-41,,,8.445e-41
201.87,1.046e-40,,,1.046e-40
201.92,1.575e-40,,,1.575e-40
201.97,2.565e-40,,,2.565e-40
202.02,4.066e-40,,,4.066e-40
202.07,5.981e-40,,,5.981e-40
202.12,8.019e-40,,,8.019e-40
202.17,9.742e-40,,,9.742e-40
202.22,1.070e-39,,,1.070e-39
202.27,1.060e-39,,,1.060e-39
202.32,9.494e-40,,,9.494e-40
202.37,7.725e-40,,,7.725e-40
202.42,5.868e-40,,,5.868e-40
202.47,4.572e-40,,,4.572e-40
202.52,4.496e-40,,,4.496e-40
202.57,6.270e-40,,,6.270e-40
202.62,1.040e-39,,,1.040e-39
202.67,1.698e-39,,,1.698e-39
202.72,2.542e-39,,,2.542e-39
202.77,3.425e-39,,,3.425e-39
202.82,4.164e-39,,,4.164e-39
202.87,4.612e-39,,,4.612e-39
202.92,4.732e-39,,,4.732e-39
202.97,4.589e-39,,,4.589e-39
203.02,4.285e-39,,,4.285e-39
203.07,3.881e-39,,,3.881e-39
203.12,3.387e-39,,,3.387e-39
203.17,2.803e-39,,,2.803e-39
203.22,2.174e-39,,,2.174e-39
203.27,1.593e-39,,,1.593e-39
203.32,1.166e-39,,,1.166e-39
203.37,9.607e-40,,,9.607e-40
203.42,9.798e-40,,,9.798e-40
203.47,1.163e-39,,,1.163e-39
203.52,1.412e-39,,,1.412e-39
203.57,1.623e-39,,,1.623e-39
203.62,1.725e-39,,,1.725e-39
203.67,1.692e-39,,,1.692e-39
203.72,1.548e-39,,,1.548e-39
203.77,1.347e-39,,,1.347e-39
203.82,1.160e-39,,,1.160e-39
203.87,1.077e-39,,,1.077e-39
203.92,1.209e-39,,,1.209e-39
203.97,1.685e-39,,,1.685e-39
204.02,2.639e-39,,,2.639e-39
204.07,4.161e-39,,,4.161e-39
204.12,6.238e-39,,,6.238e-39
204.17,8.674e-39,,,8.674e-39
204.22,1.106e-38,,,1.106e-38
204.27,1.287e-38,,,1.287e-38
204.32,1.359e-38,,,1.359e-38
204.37,1.304e-38,,,1.304e-38
204.42,1.138e-38,,,1.138e-38
204.47,9.093e-39,,,9.093e-39
204.52,6.710e-39,,,6.710e-39
204.57,4.637e-39,,,4.637e-39
204.62,3.055e-39,,,3.055e-39
204.67,1.966e-39,,,1.966e-39
204.72,1.279e-39,,,1.279e-39
204.77,8.821e-40,,,8.821e-40
204.82,6.686e-40,,,6.686e-40
204.87,5.550e-40,,,5.550e-40
204.92,4.869e-40,,,4.869e-40
204.97,4.399e-40,,,4.399e-40
205.02,4.095e-40,,,4.095e-40
205.07,3.965e-40,,,3.965e-40
205.12,3.970e-40,,,3.970e-40
205.17,4.027e-40,,,4.027e-40
205.22,4.094e-40,,,4.094e-40
205.27,4.225e-40,,,4.225e-40
205.32,4.536e-40,,,4.536e-40
205.37,5.089e-40,,,5.089e-40
205.42,5.785e-40,,,5.785e-40
205.47,6.371e-40,,,6.371e-40
205.52,6.581e-40,,,6.581e-40
205.57,6.309e-40,,,6.309e-40
205.62,5.703e-40,,,5.703e-40
205.67,5.103e-40,,,5.103e-40
205.72,4.874e-40,,,4.874e-40
205.77,5.234e-40,,,5.234e-40
205.82,6.172e-40,,,6.172e-40
205.87,7.469e-40,,,7.469e-40
205.92,8.774e-40,,,8.774e-40
205.97,9.727e-40,,,9.727e-40
206.02,1.008e-39,,,1.008e-39
206.07,9.807e-40,,,9.807e-40
206.12,9.162e-40,,,9.162e-40
206.17,8.715e-40,,,8.715e-40
206.22,9.441e-40,,,9.441e-40
206.27,1.295e-39,,,1.295e-39
206.32,2.178e-39,,,2.178e-39
206.37,3.929e-39,,,3.929e-39
206.42,6.863e-39,,,6.863e-39
206.47,1.105e-38,,,1.105e-38
206.52,1.606e-38,,,1.606e-38
206.57,2.091e-38,,,2.091e-38
206.62,2.431e-38,,,2.431e-38
206.67,2.519e-38,,,2.519e-38
206.72,2.324e-38,,,2.324e-38
206.77,1.909e-38,,,1.909e-38
206.82,1.397e-38,,,1.397e-38
206.87,9.114e-39,,,9.114e-39
206.92,5.338e-39,,,5.338e-39
206.97,2.879e-39,,,2.879e-39
207.02,1.565e-39,,,1.565e-39
207.07,1.052e-39,,,1.052e-39
207.12,1.003e-39,,,1.003e-39
207.17,1.155e-39,,,1.155e-39
207.22,1.322e-39,,,1.322e-39
207.27,1.388e-39,,,1.388e-39
207.32,1.306e-39,,,1.306e-39
207.37,1.096e-39,,,1.096e-39
207.42,8.193e-40,,,8.193e-40
207.47,5.452e-40,,,5.452e-40
207.52,3.229e-40,,,3.229e-40
207.57,1.702e-40,,,1.702e-40
207.62,7.989e-41,,,7.989e-41
207.67,3.337e-41,,,3.337e-41
207.72,1.241e-41,,,1.241e-41
207.77,4.107e-42,,,4.107e-42
207.82,1.210e-42,,,1.210e-42
207.87,3.173e-43,,,3.173e-43
207.92,7.408e-44,,,7.408e-44
207.97,1.539e-44,,,1.539e-44
208.02,2.847e-45,,,2.847e-45
208.07,4.687e-46,,,4.687e-46
208.12,6.869e-47,,,6.869e-47
208.17,8.960e-48,,,8.960e-48
208.22,1.040e-48,,,1.040e-48
208.27,1.075e-49,,,1.075e-49
208.32,9.901e-51,,,9.901e-51
208.37,9.151e-52,,,9.151e-52
208.42,1.303e-51,,,1.303e-51
208.47,1.315e-50,,,1.315e-50
208.52,1.241e-49,,,1.241e-49
208.57,1.045e-48,,,1.045e-48
208.62,7.853e-48,,,7.853e-48
208.67,5.265e-47,,,5.265e-47
208.72,3.150e-46,,,3.150e-46
208.77,1.682e-45,,,1.682e-45
208.82,8.011e-45,,,8.011e-45
208.87,3.405e-44,,,3.405e-44
208.92,1.291e-43,,,1.291e-43
208.97,4.371e-43,,,4.371e-43
209.02,1.320e-42,,,1.320e-42
209.07,3.557e-42,,,3.557e-42
209.12,8.553e-42,,,8.553e-42
209.17,1.835e-41,,,1.835e-41
