Wavelength (nm),Sum,Pb I (1.4e-01),Pb II (8.6e-01)
200.97,6.555e-9,6.555e-9,
201.02,1.249e-7,1.249e-7,
201.07,2.106e-6,2.106e-6,
201.12,3.142e-5,3.142e-5,
201.17,4.148e-4,4.148e-4,
201.22,4.845e-3,4.845e-3,
201.27,5.009e-2,5.009e-2,
201.32,4.582e-1,4.582e-1,
201.37,3.709e+0,3.709e+0,
201.42,2.657e+1,2.657e+1,
201.47,1.684e+2,1.684e+2,
201.52,9.445e+2,9.445e+2,
201.57,4.688e+3,4.688e+3,
201.62,2.059e+4,2.059e+4,
201.67,8.000e+4,8.000e+4,
201.72,2.751e+5,2.751e+5,
201.77,8.372e+5,8.372e+5,
201.82,2.254e+6,2.254e+6,
201.87,5.372e+6,5.372e+6,
201.92,1.133e+7,1.133e+7,
201.97,2.113e+7,2.113e+7,
202.02,3.489e+7,3.489e+7,
202.07,5.098e+7,5.098e+7,
202.12,6.590e+7,6.590e+7,
202.17,7.539e+7,7.539e+7,
202.22,7.632e+7,7.632e+7,
202.27,6.837e+7,6.837e+7,
202.32,5.419e+7,5.419e+7,
202.37,3.801e+7,3.801e+7,
202.42,2.359e+7,2.359e+7,
202.47,1.296e+7,1.296e+7,
202.52,6.298e+6,6.298e+6,
202.57,2.708e+6,2.708e+6,
202.62,1.031e+6,1.031e+6,
202.67,3.471e+5,3.471e+5,
202.72,1.034e+5,1.034e+5,
202.77,2.727e+4,2.727e+4,
202.82,6.364e+3,6.364e+3,
202.87,1.314e+3,1.314e+3,
202.92,2.401e+2,2.401e+2,
202.97,3.881e+1,3.881e+1,
203.02,5.553e+0,5.553e+0,
203.07,7.030e-1,7.030e-1,
203.12,7.875e-2,7.875e-2,
203.17,7.807e-3,7.807e-3,
203.22,6.848e-4,6.848e-4,
203.27,5.315e-5,5.315e-5,
203.32,3.651e-6,3.651e-6,
203.37,2.219e-7,2.219e-7,
203.42,1.193e-8,1.193e-8,
204.07,6.372e-9,6.372e-9,
204.12,1.193e-7,1.193e-7,
204.17,1.982e-6,1.982e-6,
