Wavelength (nm),Sum,Si I (3.4e-01),Si II (6.6e-01),Si III (3.0e-05)
200.11,8.111e+1,,8.111e+1,1.426e-7
200.16,2.011e+2,,2.011e+2,1.339e-7
200.21,4.403e+2,,4.403e+2,1.111e-7
200.26,8.512e+2,,8.512e+2,8.128e-8
200.31,1.453e+3,,1.453e+3,5.252e-8
200.36,2.191e+3,,2.191e+3,3.002e-8
200.41,2.916e+3,,2.916e+3,1.539e-8
200.46,3.428e+3,,3.428e+3,7.781e-9
200.51,3.558e+3,,3.558e+3,5.787e-9
200.56,3.262e+3,,3.262e+3,9.033e-9
200.61,2.640e+3,,2.640e+3,1.876e-8
200.66,1.887e+3,,1.887e+3,3.734e-8
200.72,1.070e+3,,1.070e+3,7.381e-8
200.77,5.818e+2,,5.818e+2,1.144e-7
200.82,2.795e+2,,2.795e+2,1.574e-7
200.87,1.194e+2,,1.194e+2,1.926e-7
200.92,4.860e+1,,4.860e+1,2.096e-7
200.97,3.113e+1,,3.113e+1,2.031e-7
201.02,6.036e+1,,6.036e+1,1.753e-7
201.07,1.703e+2,,1.703e+2,1.348e-7
201.12,4.533e+2,,4.533e+2,9.251e-8
201.17,1.080e+3,,1.080e+3,5.662e-8
201.22,2.298e+3,,2.298e+3,3.092e-8
201.27,4.384e+3,,4.384e+3,1.506e-8
201.32,7.548e+3,,7.548e+3,6.547e-9
201.37,1.181e+4,,1.181e+4,2.538e-9
201.42,1.694e+4,,1.694e+4,8.766e-10
201.47,2.244e+4,,2.244e+4,2.697e-10
201.52,2.756e+4,,2.756e+4,7.385e-11
201.57,3.141e+4,,3.141e+4,1.799e-11
201.62,3.308e+4,,3.308e+4,3.893e-12
201.67,3.198e+4,,3.198e+4,7.484e-13
201.72,2.814e+4,,2.814e+4,1.277e-13
201.77,2.237e+4,,2.237e+4,1.932e-14
201.82,1.596e+4,,1.596e+4,2.591e-15
201.87,1.018e+4,,1.018e+4,3.079e-16
201.92,5.777e+3,,5.777e+3,3.241e-17
201.97,2.913e+3,,2.913e+3,3.019e-18
202.02,1.303e+3,,1.303e+3,2.490e-19
202.07,5.164e+2,,5.164e+2,1.816e-20
202.12,1.812e+2,,1.812e+2,1.172e-21
202.17,5.628e+1,,5.628e+1,6.560e-23
202.22,1.546e+1,,1.546e+1,3.322e-24
202.27,3.758e+0,,3.758e+0,
202.32,8.080e-1,,8.080e-1,
202.37,1.536e-1,,1.536e-1,
202.42,2.584e-2,,2.584e-2,
202.47,3.842e-3,,3.842e-3,
202.52,5.053e-4,,5.053e-4,
202.57,5.877e-5,,5.877e-5,
202.62,6.045e-6,,6.045e-6,
202.67,5.498e-7,,5.498e-7,
202.72,4.422e-8,,4.422e-8,
202.77,3.145e-9,,3.145e-9,
202.82,1.978e-10,,1.978e-10,
202.87,1.100e-11,,1.100e-11,
203.77,4.603e-21,,,4.603e-21
203.82,7.908e-20,,,7.908e-20
203.87,1.206e-18,,,1.206e-18
203.92,1.634e-17,,,1.634e-17
203.97,1.964e-16,,,1.964e-16
204.02,2.097e-15,,,2.097e-15
204.07,1.987e-14,,,1.987e-14
204.12,1.672e-13,,,1.672e-13
204.17,1.249e-12,,,1.249e-12
204.22,8.283e-12,,,8.283e-12
204.27,4.877e-11,,,4.877e-11
204.32,2.549e-10,,,2.549e-10
204.37,1.183e-9,,,1.183e-9
204.42,4.875e-9,,,4.875e-9
204.47,1.783e-8,,,1.783e-8
204.52,5.792e-8,,,5.792e-8
204.57,2.211e-7,5.413e-8,,1.670e-7
204.62,1.381e-6,9.530e-7,,4.276e-7
204.67,1.588e-5,1.491e-5,,9.718e-7
204.72,2.093e-4,2.074e-4,,1.961e-6
204.77,2.566e-3,2.562e-3,,3.513e-6
204.82,2.814e-2,2.814e-2,,5.587e-6
204.87,2.746e-1,2.746e-1,,7.890e-6
204.92,2.381e+0,2.381e+0,,9.891e-6
204.97,1.835e+1,1.835e+1,2.203e-12,1.101e-5
205.02,1.257e+2,1.257e+2,3.927e-11,1.088e-5
205.07,7.648e+2,7.648e+2,6.223e-10,9.544e-6
205.12,4.136e+3,4.136e+3,8.767e-9,7.434e-6
205.17,1.988e+4,1.988e+4,1.098e-7,5.141e-6
205.22,8.491e+4,8.491e+4,1.223e-6,3.156e-6
205.27,3.223e+5,3.223e+5,1.211e-5,1.720e-6
205.32,1.087e+6,1.087e+6,1.066e-4,8.325e-7
205.37,3.258e+6,3.258e+6,8.343e-4,3.577e-7
205.42,8.679e+6,8.679e+6,5.805e-3,1.364e-7
205.47,2.055e+7,2.055e+7,3.591e-2,4.620e-8
205.52,4.322e+7,4.322e+7,1.975e-1,1.389e-8
205.57,8.079e+7,8.079e+7,9.660e-1,3.708e-9
205.62,1.342e+8,1.342e+8,4.200e+0,8.787e-10
205.67,1.981e+8,1.981e+8,1.623e+1,1.849e-10
205.72,2.599e+8,2.599e+8,5.579e+1,3.454e-11
205.77,3.031e+8,3.031e+8,1.705e+2,5.728e-12
205.82,3.140e+8,3.140e+8,4.631e+2,8.433e-13
205.87,2.891e+8,2.891e+8,1.119e+3,1.102e-13
205.92,2.365e+8,2.365e+8,2.402e+3,1.279e-14
205.97,1.720e+8,1.720e+8,4.585e+3,1.318e-15
206.02,1.111e+8,1.111e+8,7.783e+3,1.206e-16
206.07,6.381e+7,6.380e+7,1.175e+4,9.794e-18
206.12,3.257e+7,3.256e+7,1.576e+4,7.062e-19
206.17,1.478e+7,1.476e+7,1.880e+4,4.521e-20
206.22,5.969e+6,5.949e+6,1.994e+4,2.569e-21
206.27,2.149e+6,2.130e+6,1.880e+4,5.763e-22
206.32,6.937e+5,6.779e+5,1.576e+4,9.545e-21
206.37,2.035e+5,1.917e+5,1.175e+4,1.408e-19
206.42,5.597e+4,4.818e+4,7.785e+3,1.848e-18
206.47,1.536e+4,1.076e+4,4.598e+3,2.161e-17
206.52,4.604e+3,2.136e+3,2.469e+3,2.251e-16
206.57,1.809e+3,3.767e+2,1.432e+3,2.087e-15
206.62,1.837e+3,5.904e+1,1.778e+3,1.723e-14
206.67,5.108e+3,8.223e+0,5.100e+3,1.267e-13
206.72,1.657e+4,1.018e+0,1.657e+4,8.296e-13
206.77,4.947e+4,1.120e-1,4.947e+4,4.837e-12
206.82,1.325e+5,1.094e-2,1.325e+5,2.511e-11
206.87,3.175e+5,9.506e-4,3.175e+5,1.161e-10
206.92,6.812e+5,7.338e-5,6.812e+5,4.780e-10
206.97,1.309e+6,5.034e-6,1.309e+6,1.752e-9
207.02,2.251e+6,3.069e-7,2.251e+6,5.721e-9
207.07,3.470e+6,1.663e-8,3.470e+6,1.663e-8
207.12,4.792e+6,,4.792e+6,4.305e-8
207.17,5.929e+6,,5.929e+6,9.925e-8
207.22,6.573e+6,,6.573e+6,2.037e-7
207.27,6.528e+6,,6.528e+6,3.724e-7
207.32,5.808e+6,,5.808e+6,6.062e-7
207.37,4.626e+6,,4.626e+6,8.788e-7
207.42,3.299e+6,,3.299e+6,1.134e-6
207.47,2.105e+6,,2.105e+6,1.304e-6
207.52,1.201e+6,,1.201e+6,1.334e-6
207.57,6.131e+5,,6.131e+5,1.216e-6
207.62,2.796e+5,,2.796e+5,9.872e-7
207.67,1.139e+5,,1.139e+5,7.135e-7
207.72,4.146e+4,,4.146e+4,4.592e-7
207.77,1.347e+4,,1.347e+4,2.632e-7
207.82,3.904e+3,,3.904e+3,1.343e-7
207.87,1.009e+3,,1.009e+3,6.105e-8
207.92,2.328e+2,,2.328e+2,2.471e-8
207.97,4.789e+1,,4.789e+1,8.903e-9
208.02,8.779e+0,,8.779e+0,2.857e-9
208.07,1.434e+0,,1.434e+0,8.165e-10
208.12,2.089e-1,,2.089e-1,2.078e-10
208.17,2.710e-2,,2.710e-2,4.708e-11
208.22,3.132e-3,,3.132e-3,9.501e-12
208.27,3.224e-4,,3.224e-4,1.707e-12
208.32,2.956e-5,,2.956e-5,2.732e-13
208.37,2.414e-6,,2.414e-6,3.892e-14
208.42,1.755e-7,,1.755e-7,4.939e-15
208.47,1.137e-8,,1.137e-8,5.580e-16
208.52,6.488e-10,,6.488e-10,5.615e-17
208.57,5.030e-18,,,5.030e-18
208.62,4.013e-19,,,4.013e-19
208.67,2.851e-20,,,2.851e-20
208.72,1.804e-21,,,1.804e-21
208.77,1.016e-22,,,1.016e-22
211.02,3.014e-8,3.014e-8,,
211.07,4.881e-7,4.881e-7,,
211.12,7.418e-6,7.418e-6,,
211.17,9.743e-5,9.743e-5,,
211.22,1.149e-3,1.149e-3,,
211.27,1.218e-2,1.218e-2,,
211.32,1.160e-1,1.160e-1,,
211.37,9.956e-1,9.956e-1,,
211.42,7.699e+0,7.699e+0,,
211.47,5.373e+1,5.373e+1,,
211.52,3.389e+2,3.389e+2,,
211.57,1.934e+3,1.934e+3,,
211.62,1.000e+4,1.000e+4,,
211.67,4.694e+4,4.694e+4,,
211.72,1.999e+5,1.999e+5,,
211.77,7.732e+5,7.732e+5,,
211.82,2.716e+6,2.716e+6,,
211.87,8.663e+6,8.663e+6,,
211.92,2.506e+7,2.506e+7,,
211.97,6.571e+7,6.571e+7,,
212.02,1.559e+8,1.559e+8,,
212.07,3.344e+8,3.344e+8,,
212.12,6.474e+8,6.474e+8,,
212.17,1.130e+9,1.130e+9,,
212.22,1.775e+9,1.775e+9,,
212.27,2.509e+9,2.509e+9,,
212.32,3.187e+9,3.187e+9,,
212.37,3.635e+9,3.635e+9,,
212.42,3.721e+9,3.721e+9,,
212.47,3.416e+9,3.416e+9,,
212.52,2.812e+9,2.812e+9,,
212.57,2.075e+9,2.075e+9,,
212.62,1.372e+9,1.372e+9,,
212.67,8.124e+8,8.124e+8,,
212.72,4.309e+8,4.309e+8,,
212.77,2.047e+8,2.047e+8,,
212.82,8.708e+7,8.708e+7,,
212.87,3.317e+7,3.317e+7,,
212.92,1.131e+7,1.131e+7,,
212.97,3.453e+6,3.453e+6,,
213.02,9.438e+5,9.438e+5,,
213.07,2.309e+5,2.309e+5,,
213.12,5.058e+4,5.058e+4,,
213.17,9.917e+3,9.917e+3,,
213.22,1.741e+3,1.741e+3,,
213.27,2.734e+2,2.734e+2,,
213.32,3.846e+1,3.846e+1,,
213.37,4.841e+0,4.841e+0,,
213.42,5.455e-1,5.455e-1,,
213.47,5.502e-2,5.502e-2,,
213.52,4.967e-3,4.967e-3,,
213.57,4.014e-4,4.014e-4,,
213.62,2.903e-5,2.903e-5,,
213.67,1.880e-6,1.880e-6,,
215.72,1.538e-23,,,1.538e-23
215.77,2.403e-22,,,2.403e-22
215.82,3.378e-21,,,3.378e-21
215.87,4.287e-20,,,4.287e-20
215.92,4.878e-19,,,4.878e-19
215.97,4.994e-18,,,4.994e-18
216.02,4.600e-17,,,4.600e-17
216.07,3.812e-16,,,3.812e-16
216.12,2.843e-15,,,2.843e-15
216.17,1.909e-14,,,1.909e-14
216.22,1.154e-13,,,1.154e-13
216.27,6.279e-13,,,6.279e-13
216.32,3.080e-12,,,3.080e-12
216.37,1.361e-11,,,1.361e-11
216.42,5.429e-11,,,5.429e-11
216.47,1.954e-10,,,1.954e-10
216.52,6.355e-10,,,6.355e-10
216.57,1.869e-9,,,1.869e-9
216.62,4.979e-9,,,4.979e-9
216.67,1.203e-8,,,1.203e-8
216.72,2.639e-8,,,2.639e-8
216.77,5.267e-8,,,5.267e-8
216.82,9.578e-8,,,9.578e-8
216.87,1.589e-7,,,1.589e-7
216.92,2.407e-7,,,2.407e-7
216.97,3.334e-7,,,3.334e-7
217.02,4.221e-7,,,4.221e-7
217.07,4.887e-7,,,4.887e-7
217.12,5.183e-7,,,5.183e-7
217.17,5.061e-7,,,5.061e-7
217.22,4.628e-7,,,4.628e-7
217.27,4.152e-7,,,4.152e-7
217.32,4.014e-7,,,4.014e-7
217.37,4.627e-7,,,4.627e-7
217.42,6.317e-7,,,6.317e-7
217.47,9.177e-7,,,9.177e-7
217.52,1.294e-6,,,1.294e-6
217.57,1.696e-6,,,1.696e-6
217.62,2.031e-6,,,2.031e-6
217.67,2.218e-6,,,2.218e-6
217.72,2.221e-6,,,2.221e-6
217.77,2.073e-6,,,2.073e-6
217.82,1.868e-6,,,1.868e-6
217.87,1.714e-6,,,1.714e-6
217.92,1.689e-6,,,1.689e-6
217.97,1.803e-6,,,1.803e-6
218.02,2.000e-6,,,2.000e-6
218.07,2.183e-6,,,2.183e-6
218.12,2.261e-6,,,2.261e-6
218.17,2.180e-6,,,2.180e-6
218.22,1.940e-6,,,1.940e-6
218.27,1.588e-6,,,1.588e-6
218.32,1.193e-6,,,1.193e-6
218.37,8.213e-7,,,8.213e-7
218.42,5.171e-7,,,5.171e-7
218.47,2.972e-7,,,2.972e-7
218.52,1.556e-7,,,1.556e-7
218.57,7.412e-8,,,7.412e-8
218.62,3.208e-8,,,3.208e-8
218.67,1.271e-8,,,1.271e-8
218.72,4.916e-9,,,4.916e-9
218.77,2.607e-9,,,2.607e-9
218.82,3.100e-9,,,3.100e-9
218.87,5.618e-9,,,5.618e-9
218.92,1.021e-8,,,1.021e-8
218.97,1.696e-8,,,1.696e-8
219.02,2.544e-8,,,2.544e-8
219.07,3.440e-8,,,3.440e-8
219.12,4.192e-8,,,4.192e-8
219.17,4.604e-8,,,4.604e-8
219.22,4.556e-8,,,4.556e-8
219.27,4.064e-8,,,4.064e-8
219.32,3.266e-8,,,3.266e-8
219.37,2.365e-8,,,2.365e-8
219.42,1.544e-8,,,1.544e-8
219.47,7.955e-8,7.047e-8,,9.080e-9
219.52,1.029e-6,1.025e-6,,4.813e-9
219.57,1.345e-5,1.344e-5,,2.299e-9
219.62,1.592e-4,1.592e-4,,9.895e-10
219.67,1.702e-3,1.702e-3,,3.838e-10
219.72,1.642e-2,1.642e-2,,1.342e-10
219.77,1.429e-1,1.429e-1,,4.227e-11
219.82,1.123e+0,1.123e+0,,1.200e-11
219.87,7.964e+0,7.964e+0,,3.069e-12
219.92,5.097e+1,5.097e+1,,7.076e-13
219.97,2.944e+2,2.944e+2,,1.470e-13
220.02,1.535e+3,1.535e+3,,2.752e-14
220.07,7.223e+3,7.223e+3,,4.643e-15
220.12,3.067e+4,3.067e+4,,7.060e-16
220.17,1.176e+5,1.176e+5,,9.673e-17
220.22,4.067e+5,4.067e+5,,1.194e-17
220.27,1.270e+6,1.270e+6,,1.329e-18
220.32,3.581e+6,3.581e+6,,1.333e-19
220.37,9.116e+6,9.116e+6,,1.204e-20
220.42,2.096e+7,2.096e+7,,9.805e-22
220.47,4.358e+7,4.358e+7,,7.195e-23
220.52,8.201e+7,8.201e+7,,4.758e-24
220.57,1.400e+8,1.400e+8,,
220.62,2.178e+8,2.178e+8,,
220.67,3.109e+8,3.109e+8,,
220.72,4.120e+8,4.120e+8,,
220.77,5.155e+8,5.155e+8,,
220.82,6.218e+8,6.218e+8,,
220.87,7.374e+8,7.374e+8,,1.281e-22
220.92,8.670e+8,8.670e+8,,1.802e-21
220.97,1.004e+9,1.004e+9,,2.290e-20
221.02,1.125e+9,1.125e+9,,2.630e-19
221.07,1.194e+9,1.194e+9,,2.731e-18
221.12,1.184e+9,1.184e+9,,2.562e-17
221.17,1.087e+9,1.087e+9,3.142e-12,2.172e-16
221.22,9.265e+8,9.265e+8,4.563e-11,1.664e-15
221.27,7.489e+8,7.489e+8,5.991e-10,1.152e-14
221.32,6.114e+8,6.114e+8,7.110e-9,7.209e-14
221.37,5.638e+8,5.638e+8,7.628e-8,4.076e-13
221.42,6.361e+8,6.361e+8,7.398e-7,2.083e-12
221.47,8.292e+8,8.292e+8,6.486e-6,9.621e-12
221.52,1.110e+9,1.110e+9,5.140e-5,4.016e-11
221.57,1.416e+9,1.416e+9,3.682e-4,1.515e-10
221.62,1.669e+9,1.669e+9,2.384e-3,5.163e-10
221.67,1.797e+9,1.797e+9,1.396e-2,1.591e-9
221.72,1.764e+9,1.764e+9,7.385e-2,4.429e-9
221.77,1.580e+9,1.580e+9,3.532e-1,1.114e-8
221.82,1.293e+9,1.293e+9,1.527e+0,2.534e-8
221.87,9.696e+8,9.696e+8,5.969e+0,5.207e-8
221.92,6.670e+8,6.670e+8,2.109e+1,9.669e-8
221.97,4.219e+8,4.219e+8,6.736e+1,1.623e-7
222.02,2.458e+8,2.458e+8,1.945e+2,2.462e-7
222.07,1.320e+8,1.320e+8,5.075e+2,3.374e-7
222.12,6.531e+7,6.531e+7,1.197e+3,4.180e-7
222.17,2.978e+7,2.977e+7,2.553e+3,4.680e-7
222.22,1.249e+7,1.249e+7,4.922e+3,4.736e-7
222.27,4.816e+6,4.807e+6,8.577e+3,4.331e-7
222.32,1.709e+6,1.695e+6,1.351e+4,3.579e-7
222.37,5.658e+5,5.466e+5,1.924e+4,2.673e-7
222.42,1.855e+5,1.607e+5,2.476e+4,1.805e-7
222.47,7.185e+4,4.304e+4,2.881e+4,1.101e-7
222.52,4.078e+4,1.048e+4,3.030e+4,6.070e-8
222.57,3.113e+4,2.315e+3,2.881e+4,3.025e-8
222.62,2.523e+4,4.637e+2,2.477e+4,1.362e-8
222.67,1.934e+4,8.418e+1,1.926e+4,5.544e-9
222.72,1.358e+4,1.383e+1,1.356e+4,2.039e-9
222.77,8.728e+3,2.057e+0,8.726e+3,6.780e-10
222.82,5.294e+3,2.767e-1,5.294e+3,2.037e-10
222.87,3.391e+3,3.366e-2,3.391e+3,5.532e-11
222.92,2.905e+3,3.701e-3,2.905e+3,1.358e-11
222.97,3.657e+3,3.679e-4,3.657e+3,3.011e-12
223.02,5.448e+3,3.304e-5,5.448e+3,6.037e-13
223.07,7.994e+3,2.674e-6,7.994e+3,1.094e-13
223.12,1.084e+4,1.963e-7,1.084e+4,1.791e-14
223.17,1.336e+4,,1.336e+4,2.651e-15
223.22,1.491e+4,,1.491e+4,3.546e-16
223.27,1.506e+4,,1.506e+4,4.288e-17
223.32,1.376e+4,,1.376e+4,4.685e-18
223.37,1.137e+4,,1.137e+4,4.628e-19
223.42,8.503e+3,,8.503e+3,4.131e-20
223.47,5.750e+3,,5.750e+3,3.333e-21
223.52,3.517e+3,,3.517e+3,2.430e-22
223.57,1.946e+3,,1.946e+3,5.862e-24
223.62,9.739e+2,,9.739e+2,5.500e-23
223.67,4.409e+2,,4.409e+2,6.838e-22
223.72,1.805e+2,,1.805e+2,7.702e-21
223.77,6.687e+1,,6.687e+1,7.858e-20
223.82,2.241e+1,,2.241e+1,7.263e-19
223.87,6.790e+0,,6.790e+0,6.081e-18
223.92,1.861e+0,,1.861e+0,4.612e-17
223.97,4.616e-1,,4.616e-1,3.169e-16
224.02,1.035e-1,,1.035e-1,1.972e-15
224.07,2.101e-2,,2.101e-2,1.112e-14
224.12,3.855e-3,,3.855e-3,5.681e-14
224.17,6.400e-4,,6.400e-4,2.629e-13
224.22,9.611e-5,,9.611e-5,1.102e-12
224.27,1.305e-5,,1.305e-5,4.184e-12
224.32,1.604e-6,,1.604e-6,1.439e-11
224.37,1.783e-7,,1.783e-7,4.485e-11
224.42,1.805e-8,,1.792e-8,1.266e-10
224.47,1.953e-9,,1.629e-9,3.238e-10
224.52,8.841e-10,,1.340e-10,7.501e-10
224.57,1.584e-9,,9.972e-12,1.574e-9
224.62,2.993e-9,,6.711e-13,2.992e-9
224.67,5.154e-9,,,5.154e-9
224.72,8.040e-9,,,8.040e-9
224.77,1.136e-8,,,1.136e-8
224.82,1.455e-8,,,1.455e-8
224.87,1.687e-8,,,1.687e-8
224.92,1.773e-8,,,1.773e-8
224.97,1.687e-8,,,1.687e-8
225.02,1.455e-8,,,1.455e-8
225.07,1.136e-8,,,1.136e-8
225.12,8.040e-9,,,8.040e-9
225.17,5.154e-9,,,5.154e-9
225.22,2.992e-9,,,2.992e-9
225.27,1.574e-9,,,1.574e-9
225.32,7.501e-10,,,7.501e-10
225.37,3.238e-10,,,3.238e-10
225.42,1.266e-10,,,1.266e-10
225.47,4.485e-11,,,4.485e-11
225.52,1.439e-11,,,1.439e-11
225.57,4.184e-12,,,4.184e-12
225.62,1.102e-12,,,1.102e-12
225.67,2.629e-13,,,2.629e-13
225.72,5.681e-14,,,5.681e-14
225.77,1.112e-14,,,1.112e-14
225.82,1.972e-15,,,1.972e-15
225.87,3.169e-16,,,3.169e-16
225.92,4.612e-17,,,4.612e-17
225.97,6.081e-18,,,6.081e-18
226.02,7.263e-19,,,7.263e-19
226.07,7.858e-20,,,7.858e-20
226.12,7.702e-21,,,7.702e-21
226.17,6.838e-22,,,6.838e-22
226.22,5.500e-23,,,5.500e-23
226.27,4.008e-24,,,4.008e-24
228.17,1.991e-22,,,1.991e-22
228.22,2.606e-21,,,2.606e-21
228.27,3.101e-20,,,3.101e-20
228.32,3.356e-19,,,3.356e-19
228.37,3.304e-18,,,3.304e-18
228.42,2.958e-17,,,2.958e-17
228.47,2.409e-16,,,2.409e-16
228.52,1.784e-15,,,1.784e-15
228.57,1.201e-14,,,1.201e-14
228.62,7.358e-14,,,7.358e-14
228.67,4.099e-13,,,4.099e-13
228.72,2.077e-12,,,2.077e-12
228.77,9.569e-12,,,9.569e-12
228.82,4.010e-11,,,4.010e-11
228.87,1.528e-10,,,1.528e-10
228.92,1.067e-7,1.061e-7,,5.298e-10
228.97,1.393e-6,1.391e-6,,1.670e-9
229.02,1.661e-5,1.660e-5,,4.788e-9
229.07,1.803e-4,1.803e-4,,1.248e-8
229.12,1.782e-3,1.781e-3,,2.961e-8
229.17,1.602e-2,1.602e-2,,6.386e-8
229.22,1.311e-1,1.311e-1,,1.253e-7
229.27,9.764e-1,9.764e-1,,2.235e-7
229.32,6.618e+0,6.618e+0,,3.625e-7
229.37,4.082e+1,4.082e+1,,5.350e-7
229.42,2.291e+2,2.291e+2,,7.179e-7
229.47,1.170e+3,1.170e+3,9.230e-13,8.762e-7
