Wavelength (nm),Sum(calc),Cr I (8.9e-2),Cr II (9.1e-1)
205.397,2.863e-17,,2.863e-17
205.402,1.278e-15,,1.278e-15
205.407,5.065e-14,,5.065e-14
205.413,3.586e-12,,3.586e-12
205.418,1.096e-10,,1.096e-10
205.423,2.976e-9,,2.976e-9
205.428,7.178e-8,,7.178e-8
205.433,1.538e-6,,1.538e-6
205.438,2.928e-5,,2.928e-5
205.443,4.952e-4,,4.952e-4
205.448,7.441e-3,,7.441e-3
205.453,9.933e-2,,9.933e-2
205.458,1.178e+0,,1.178e+0
205.464,1.960e+1,,1.960e+1
205.469,1.791e+2,,1.791e+2
205.474,1.455e+3,,1.455e+3
205.479,1.049e+4,,1.049e+4
205.484,6.726e+4,,6.726e+4
205.489,3.830e+5,,3.830e+5
205.494,1.938e+6,,1.938e+6
205.499,8.708e+6,,8.708e+6
205.504,3.477e+7,,3.477e+7
205.509,1.233e+8,,1.233e+8
205.515,4.820e+8,,4.820e+8
205.520,1.318e+9,,1.318e+9
205.525,3.201e+9,,3.201e+9
205.530,6.907e+9,,6.907e+9
205.535,1.324e+10,,1.324e+10
205.540,2.255e+10,,2.255e+10
205.545,3.413e+10,,3.413e+10
205.550,4.587e+10,,4.587e+10
205.555,5.478e+10,,5.478e+10
205.560,5.812e+10,,5.812e+10
205.565,5.478e+10,,5.478e+10
205.571,4.365e+10,,4.365e+10
205.576,3.171e+10,,3.171e+10
205.581,2.047e+10,,2.047e+10
205.586,1.174e+10,,1.174e+10
205.591,5.979e+9,,5.979e+9
205.596,2.706e+9,,2.706e+9
205.601,1.088e+9,,1.088e+9
205.606,3.886e+8,,3.886e+8
205.611,1.233e+8,,1.233e+8
205.616,3.477e+7,,3.477e+7
205.622,6.508e+6,,6.508e+6
205.627,1.414e+6,,1.414e+6
205.632,2.730e+5,,2.730e+5
205.637,4.683e+4,,4.683e+4
205.642,7.135e+3,,7.135e+3
205.647,9.659e+2,,9.659e+2
205.652,1.162e+2,,1.162e+2
205.657,1.241e+1,,1.241e+1
205.662,1.178e+0,,1.178e+0
205.667,9.933e-2,,9.933e-2
205.673,4.369e-3,,4.369e-3
205.678,2.840e-4,,2.840e-4
205.683,1.640e-5,,1.640e-5
205.688,8.412e-7,,8.412e-7
205.693,3.834e-8,,3.834e-8
205.698,1.552e-9,,1.552e-9
205.703,5.583e-11,,5.583e-11
205.708,1.784e-12,,1.784e-12
205.713,5.065e-14,,5.065e-14
205.718,1.278e-15,,1.278e-15
205.723,2.863e-17,,2.863e-17
205.994,1.417e-17,,1.417e-17
205.999,6.333e-16,,6.333e-16
206.004,2.516e-14,,2.516e-14
206.009,8.890e-13,,8.890e-13
206.014,2.792e-11,,2.792e-11
206.019,7.795e-10,,7.795e-10
206.024,1.935e-8,,1.935e-8
206.029,4.269e-7,,4.269e-7
206.034,8.375e-6,,8.375e-6
206.039,1.461e-4,,1.461e-4
206.045,3.863e-3,,3.863e-3
206.050,5.201e-2,,5.201e-2
206.055,6.225e-1,,6.225e-1
206.060,6.623e+0,,6.623e+0
206.065,6.265e+1,,6.265e+1
206.070,5.269e+2,,5.269e+2
206.075,3.939e+3,,3.939e+3
206.080,2.618e+4,,2.618e+4
206.085,1.547e+5,,1.547e+5
206.090,8.126e+5,,8.126e+5
206.096,5.092e+6,,5.092e+6
206.101,2.065e+7,,2.065e+7
206.106,7.444e+7,,7.444e+7
206.111,2.386e+8,,2.386e+8
206.116,6.798e+8,,6.798e+8
206.121,1.722e+9,,1.722e+9
206.126,3.877e+9,,3.877e+9
206.131,7.762e+9,,7.762e+9
206.136,1.381e+10,,1.381e+10
206.141,2.186e+10,,2.186e+10
206.147,3.245e+10,,3.245e+10
206.152,3.964e+10,,3.964e+10
206.157,4.304e+10,,4.304e+10
206.162,4.155e+10,,4.155e+10
206.167,3.565e+10,,3.565e+10
206.172,2.720e+10,,2.720e+10
206.177,1.845e+10,,1.845e+10
206.182,1.113e+10,,1.113e+10
206.187,5.964e+9,,5.964e+9
206.192,2.842e+9,,2.842e+9
206.197,1.204e+9,,1.204e+9
206.203,3.678e+8,,3.678e+8
206.208,1.203e+8,,1.203e+8
206.213,3.498e+7,,3.498e+7
206.218,9.042e+6,,9.042e+6
206.223,2.078e+6,,2.078e+6
206.228,4.245e+5,,4.245e+5
206.233,7.709e+4,,7.709e+4
